Date,aapl_return,aapl_log_return,aapl_ma20,aapl_ma50,aapl_ma200,aapl_price_ma20_ratio,aapl_price_ma50_ratio,aapl_price_ma200_ratio,aapl_momentum_5,aapl_momentum_10,aapl_momentum_20,aapl_volatility_10,aapl_volatility_20,aapl_volatility_60,aapl_rsi,aapl_macd,aapl_macd_signal,aapl_macd_hist,aapl_volume_change,aapl_volume_ratio,spy_return,spy_log_return,spy_ma20,spy_ma50,spy_ma200,spy_price_ma20_ratio,spy_price_ma50_ratio,spy_price_ma200_ratio,spy_momentum_5,spy_momentum_10,spy_momentum_20,spy_volatility_10,spy_volatility_20,spy_volatility_60,spy_rsi,spy_macd,spy_macd_signal,spy_macd_hist,spy_volume_change,spy_volume_ratio,vix,vix_change,vix_ma10,vix_ma20,vix_ratio_ma20,beta_spy_60,future_return,target
2015-10-16,-0.00733039619932796,-0.007357395578562289,25.025021362304688,25.1544571685791,27.011853332519532,0.9934732986358014,0.9883612416926029,0.9203992860167532,-0.00963228930283655,0.005979451284609194,-0.021242735546406877,0.011843380007759701,0.01330347864360713,0.02081549408420341,45.69498778498852,-0.13648780164920638,-0.15946298103640222,0.022975179387195843,0.041384527585703434,0.7821098302078923,0.004547039385630169,0.00453673283309987,164.65989685058594,165.9674038696289,171.18522972106933,1.0345847259481402,1.0264341689144565,0.9951478555444868,0.00963608875033617,0.042410373945660274,0.04001041839972852,0.00831006824638923,0.010600697917439667,0.013820082963233556,86.19542404062913,1.2208609640140082,0.3834252562767263,0.8374357077372819,-0.14583106583908723,0.8735813131528958,15.050000190734863,-0.062305239492885245,17.48100004196167,20.452999925613405,0.735833386078864,1.1074362869363807,0.006213958663829677,1
2015-10-19,0.006213958663829677,0.006194731632235479,24.9860631942749,25.137485694885253,27.016075448989866,1.0012053457138517,0.9951743122639435,0.9259738738028845,0.0011650771501983126,0.008575637772639588,-0.03020558201308776,0.011943322952658961,0.012851180973522044,0.020834927628982716,59.838022978865496,-0.11885649986700386,-0.15134168480252255,0.03248518493551869,-0.2414675550435097,0.6056079665636807,0.0004915642275957754,0.000491443449479363,164.9494499206543,165.90866271972655,171.18898216247558,1.0332762829713802,1.02730232224289,0.9956152103902595,0.009180049476696484,0.024688541358487637,0.035172527240838525,0.006833467783313017,0.010579098912580166,0.013757932570057665,86.18888702622269,1.3860064212738337,0.5839414892761479,0.8020649319976858,-0.3321362086435603,0.590001343857726,14.979999542236328,-0.004651205821354698,17.024999904632573,20.194999933242798,0.7417677440829249,1.1146989405474041,0.01825829428783865,1
2015-10-20,0.01825829428783865,0.01809361314329896,24.990205574035645,25.11084186553955,27.025986127853393,1.0193166574835086,1.0144197057171993,0.9425348142726592,0.017711870057476986,0.02210045934681215,0.0032629900410292567,0.013129128723306058,0.013109883171259626,0.020924351519540058,62.073843005509055,-0.06725219289160833,-0.1345237864203397,0.06727159352873138,0.6454676200973144,0.9979079063045262,-0.0012781731676205776,-0.0012789907276735933,165.33496322631837,165.8018768310547,171.20696800231934,1.029549355073411,1.0266500477204483,0.9942381828666939,0.01428232810567498,0.026897160984102886,0.04744480210879143,0.006659328610046615,0.010028949697632,0.013738960928379127,82.2112579783946,1.4822206166609817,0.7635973147531147,0.718623301907867,0.025150312516743156,0.6229576306860265,15.75,0.051401901287956964,16.659999942779542,19.860499906539918,0.7930313977048302,1.1093878707568507,-8.798102125839868e-05,0
2015-10-21,-8.798102125839868e-05,-8.798489181547489e-05,24.983936309814453,25.112050971984864,27.035874519348145,1.0194827334274998,1.0142816175916272,0.9421071866079337,0.03221132277550143,0.02690015290486958,-0.004898613353665593,0.012932910396147657,0.0129784230963145,0.020910179840938996,65.30012029881999,-0.026233841268304303,-0.11286579738993263,0.08663195612162833,-0.14647584739359332,0.8465298972289874,-0.006203447586860422,-0.0062227689151851525,165.68067092895507,165.70565460205077,171.2275212097168,1.0210276783209602,1.020873736551151,0.9879518758789944,0.012845794824133394,0.012236368246415719,0.04261409643455871,0.006887061277269188,0.010176577337774063,0.013663177711399115,76.1574010559778,1.4564750606468237,0.9021728639318565,0.5543021967149673,0.3007004595371485,0.8073170754864173,16.700000762939453,0.06031750875806052,16.49000005722046,19.58899998664856,0.852519310547849,1.1144016119284175,0.015295517185965224,1
2015-10-22,0.015295517185965224,0.015179720054744288,24.989533996582033,25.113215408325196,27.04606373786926,1.0348443907272948,1.0297478304860597,0.9561568490664689,0.03254092756947147,0.05479461539676378,0.00434800065009644,0.012413902098093435,0.013372483968009405,0.02101425997667981,67.53430132654162,0.03728020239866581,-0.08283659743221294,0.12011679983087875,-0.003375985759130229,0.851054309593707,0.016893269283501988,0.0167521649352488,166.1985954284668,165.66241821289063,171.25207946777343,1.035040594942092,1.0383905712987764,1.004497543185698,0.014381007438933002,0.020127830276776892,0.06407426889363355,0.00819969484136187,0.010591156676253379,0.013814278234932786,76.83067810652014,1.6476740820755822,1.0512731075606017,0.5964009745149805,0.7141819714224114,1.375436651283488,14.449999809265137,-0.1347305898732356,16.193000030517577,19.138000011444092,0.7550423137540163,1.11640805914962,0.030995629666813462,1
2015-10-23,0.030995629666813462,0.03052496609937251,25.038455963134766,25.130813941955566,27.055684165954588,1.0648354178090007,1.0609220528383003,0.985443005368413,0.07240634718780337,0.062076619001492306,0.03809618301472151,0.013717757566353017,0.015001034937520728,0.021401058640384527,73.34086834366158,0.15055883185188534,-0.03615751157539328,0.1867163434272786,0.4252354510120253,1.208982042817957,0.01096201914321826,0.010902371719615597,166.812899017334,165.66123107910155,171.27123901367187,1.0425333159797847,1.0497809513301448,1.0153952628722434,0.02085878635228533,0.03069587221913639,0.07601735451713565,0.008642290601886673,0.010696997451972739,0.013890011154869458,75.25159542113624,1.9291241143332059,1.2268433089151225,0.7022808054180834,-0.17419875285644126,1.140596584739907,14.460000038146973,0.0006920573711997058,15.93100004196167,18.67999997138977,0.7740899389878942,1.1351914416715785,-0.031911552615162764,0
2015-10-26,-0.031911552615162764,-0.03243182461433212,25.070249366760255,25.12776870727539,27.060917854309082,1.0295475644385468,1.0271908531194744,0.9538114824625207,0.03177280207214528,0.03297489698803546,0.025257770894778764,0.018105041747923267,0.016129313641591297,0.021764604567419497,59.42986760447668,0.16972240055141796,0.005018470849968971,0.16470392970144898,0.11735327261487472,1.3315733937850018,-0.0024577013635325162,-0.002460726469082501,167.60864334106446,165.63882263183595,171.2950761413574,1.0350336794224824,1.047342573823447,1.0127587711695316,0.017849481926701216,0.02719339053061809,0.10100476204956199,0.008800388494911354,0.008447995610934381,0.013892187020508323,75.9731317564688,2.093553379522575,1.400185323036613,0.6933680564859621,-0.5220721353786253,0.569751473124857,15.289999961853027,0.05739971794719434,15.843000030517578,18.063000011444093,0.8464817556422417,1.1403462855847464,-0.006332355556902147,0
2015-10-27,-0.006332355556902147,-0.006352489964174511,25.13170967102051,25.11608112335205,27.068385362625122,1.0205262591405153,1.0211612842947009,0.9475101419157844,0.006855780686301216,0.024689079440436412,0.050339412861249766,0.018365040006657833,0.01448436110798414,0.021568177807280552,58.870562654115226,0.16976412493022863,0.03796760166602091,0.1317965232642077,0.05352625659919985,1.4077660564213146,-0.0019324977676576927,-0.0019343674506291184,168.38302001953124,165.59019958496094,171.3238452911377,1.028282661433063,1.045625528562655,1.0106318806444443,0.017182625613695546,0.0317103616161023,0.09823512024762815,0.0084020308205992,0.008533301905198312,0.013887677118997884,71.7748178732358,2.1717779108137734,1.5545038405920453,0.6172740702217281,0.12852983355786374,0.6652567518426518,15.43000030517578,0.00915633379150016,15.619000053405761,17.493000030517578,0.8820671284660851,1.1353547172199847,0.041204865456710316,1
2015-10-28,0.041204865456710316,0.040378567059270544,25.23212823867798,25.1284850692749,27.080064601898194,1.0583480735651827,1.0627132610555365,0.9861266841838564,0.048435380079254076,0.08220687051624243,0.08132374118944186,0.02092375473322866,0.016792138266596108,0.021808796765306313,69.7853152335027,0.25216568646857596,0.08080721862653192,0.17135846784204403,0.22418451042006504,1.6908736317463988,0.01137473536546696,0.0113105294876611,169.10878982543946,165.5911376953125,171.36481575012206,1.0355157917483504,1.0575132511614624,1.021883177250582,0.03517445929992591,0.04847209801127583,0.09038261502754752,0.008256164625288073,0.008049320378004505,0.013963486432574836,72.68474791167063,2.3654250398004706,1.7166880804337303,0.6487369593667403,0.7445004094688714,1.1743519996267144,14.329999923706056,-0.07128971871120071,15.248999977111817,16.984500026702882,0.843710436055024,1.1576978877734294,0.010564123449381402,1
2015-10-29,0.010564123449381402,0.01050871299753253,25.354712390899657,25.153203353881835,27.093618659973146,1.0643576706445022,1.0728845245102545,0.9960457094684008,0.043549550774827805,0.0775076211217458,0.09992676063477002,0.02080969118907812,0.016659888056038432,0.021832006086986353,68.02398992204186,0.3363559977789592,0.1319169744570174,0.2044390233219418,-0.4012102665765843,1.0253481298419753,-0.0005741384981690079,-0.0005743033787891092,169.8085792541504,165.61774597167968,171.4103224182129,1.0306563013204462,1.0567362887337544,1.0210253370830056,0.01739303134485337,0.03202416809694242,0.0869203794965141,0.007489273506177621,0.008117086276826547,0.013957638876041375,71.98151104811994,2.4821661674369864,1.8697836978343816,0.6123824696026048,-0.3339143691959263,0.7961685616517119,14.609999656677246,0.019539409243679584,15.105000019073486,16.587500047683715,0.8807836994530946,1.156537561791604,-0.008545456048966504,0
2015-10-30,-0.008545456048966504,-0.008582177810971611,25.456810188293456,25.183877410888673,27.109313926696778,1.0510299845577562,1.0624206265999154,0.9869622997999623,0.00352699292054659,0.0761887167822839,0.08262373478732976,0.020910422853742533,0.01691479381007457,0.02186636358988898,66.5688171873951,0.3800875681126108,0.1815510931881361,0.1985364749244747,-0.036347806735861576,0.996711769627622,-0.004309950987537947,-0.004319265599611109,170.350390625,165.70180328369142,171.45965675354003,1.0229502768306133,1.0516480556925705,1.0163322530065022,0.002023911940045142,0.02292491463908375,0.06630754278725992,0.007826089246026836,0.007916433041271917,0.013927632980339236,68.03607820154079,2.4851709025704736,1.9928611387816002,0.49230976378887337,0.44795554843662844,1.1948113080061316,15.06999969482422,0.03148528740291523,15.106999969482422,16.294000005722047,0.9248803049915313,1.1660894791029277,0.01405860170909401,1
2015-11-02,0.01405860170909401,0.013960696111581477,25.57323751449585,25.25292781829834,27.127807445526123,1.060953699543828,1.0744109017987786,1.000155320506448,0.0511799639458026,0.08457889688245745,0.0938798526379705,0.02100103661587733,0.017059247827445917,0.02193059763158343,68.53534412538826,0.4400249904591078,0.23324587264233043,0.20677911781677738,-0.3476531085600614,0.6635055173483762,0.011831210768331601,0.011761769176317074,170.84988174438476,165.92947662353515,171.50852005004882,1.0320269700556037,1.062630277506742,1.0280637121675487,0.016377019223123845,0.034518822458461385,0.06005958319286098,0.008340141717292715,0.007437356223624176,0.014005941201024198,76.7407401716805,2.623670622668925,2.1190230355590653,0.5046475871098597,-0.34183063529882074,0.8010094091967414,14.149999618530272,-0.0610484469093866,15.023999977111817,16.024499940872193,0.8830228506812366,1.1666533380070854,0.01147037471301382,1
2015-11-03,0.01147037471301382,0.011405088727161563,25.699292182922363,25.340024185180663,27.14483916282654,1.0678595815792695,1.0829995739857345,1.0109927427722971,0.07001309539364753,0.07734887050713679,0.10115877542211371,0.020753436883584532,0.017127722204143166,0.021481967677712707,74.58235277174902,0.5067962032797659,0.28795593876981757,0.21884026450994837,0.4134886797315802,0.9404518896225713,0.0028992460506405138,0.0028950513425142635,171.40342712402344,166.3062744140625,171.55816360473634,1.0316764880916613,1.0632965374590515,1.0307459699184234,0.021297401230059743,0.03884597211563623,0.06678797946531723,0.00818119081061481,0.007285023016404558,0.0139181878404839,81.46173330372193,2.743061902353304,2.243830808917913,0.49923109343539096,0.10403635992711324,0.8905567525969909,14.539999961853027,0.027561862461962683,14.902999973297119,15.78149995803833,0.9213319393285591,1.1455903884738579,-0.004650351723246904,0
2015-11-04,-0.004650351723246904,-0.004661198248657724,25.824899196624756,25.4217919921875,27.160315217971803,1.0577239621476415,1.0744960350832813,1.0057178821784374,0.02288914841405676,0.07243317309643604,0.10128178943298471,0.020991745186492494,0.017124415736873497,0.020354690660279343,71.07235116501722,0.5431538078266591,0.3389955125811859,0.20415829524547324,-0.01390408400887544,0.9291798483560172,-0.003033155807443677,-0.003037765147443764,171.86227264404297,166.70952941894532,171.60091247558594,1.0258011914749474,1.057507178277817,1.0273635582965428,0.006748153263348655,0.0421599752055859,0.054912228433877,0.007800988820947982,0.007317690102152645,0.013872198182015317,74.73774650928459,2.762555426177755,2.3475757323698816,0.4149796938078736,0.010272336610107846,0.9116740312341288,15.510000228881836,0.06671253573409142,14.783999919891357,15.636999988555909,0.9918782528767015,1.111439166871371,-0.00460986328776225,0
2015-11-05,-0.00460986328776225,-0.004620521475334022,25.95853958129883,25.474397354125976,27.172011156082153,1.0474277016152271,1.0673341187607697,1.0006507539962355,0.007530096958099808,0.0514075800727436,0.109019054048072,0.021083927809129453,0.01683967733124899,0.020285154866048878,71.8414516302208,0.5554043235992516,0.38227727478479906,0.17312704881445257,-0.11882074851680147,0.8382316913449532,-0.0009984620603025185,-0.0009989608555918722,172.23688888549805,166.98937255859374,171.63030853271485,1.0225480720004778,1.0546808815359126,1.02616198830439,0.006320720895406806,0.023823688736916093,0.04443103817715621,0.006500861483387562,0.007204102588542011,0.013872728632964165,72.22215034514718,2.732304105407138,2.424521406977333,0.3077826984298051,-0.18514827304896364,0.7701116302239991,15.050000190734863,-0.02965828699927331,14.84399995803833,15.518499994277954,0.9698102391522481,1.110897655283205,0.0011576102244581499,1
