Date,Open,High,Low,Close,Volume
2015-01-02,170.47257341496748,170.8855799305739,168.6553346631324,169.68785095214844,121465900
2015-01-05,168.64703515309722,168.81223519552856,166.31768556571836,166.62330627441406,169632600
2015-01-06,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400
2015-01-07,166.3755665766757,167.44938618869952,165.92952502298357,167.1107177734375,125346700
2015-01-08,168.5148859394458,170.29082122362388,168.49837475641723,170.0760498046875,147217800
2015-01-09,170.48911913604712,170.50564292912694,168.1019414964393,168.71319580078125,158567300
2015-01-12,168.84533157044453,169.0022760675028,166.78855452639888,167.39154052734375,144396100
2015-01-13,168.60579178755538,169.729170120032,165.6238839596993,166.9207305908203,214553300
2015-01-14,164.9134523048001,166.11118096122874,164.02136956240093,165.91293334960938,192991100
2015-01-15,166.54900663505038,166.86288300701946,164.27747086579527,164.3931121826172,176613900
2015-01-16,164.18664354580645,166.70598626909864,164.00491963763713,166.54904174804688,211879600
2015-01-20,167.1850008985163,167.4493310684787,165.34299571593226,166.90415954589844,130991100
2015-01-21,166.4416627451499,168.22585431367148,165.9790973615987,167.74676513671875,122942700
2015-01-22,168.4983992677013,170.37343973468046,167.12721463947537,170.2412872314453,174356000
2015-01-23,169.98518533689273,170.24125991747914,169.17569624213647,169.307861328125,117516800
2015-01-26,169.09316504647256,169.7952686930043,168.38279320153632,169.70440673828125,92009700
2015-01-27,167.65579970550144,168.60570927446224,166.63980760768064,167.4658203125,134044600
2015-01-28,168.64706860560267,168.74618612993115,165.1282578484053,165.3182373046875,168514300
2015-01-29,165.51647790768044,167.1024212491774,164.11224581839372,166.8463592529297,173585400
2015-01-30,165.6734494946458,166.9950628601836,164.48398864289024,164.74830627441406,197729700
2015-02-02,165.24390342208943,166.87940563546837,163.4349329327051,166.78854370117188,163107000
2015-02-03,167.68066983135327,169.20879920391286,167.3089664338,169.20053100585938,124212900
2015-02-04,168.44057206127013,169.64655660572535,168.10190370106497,168.55621337890625,134306700
2015-02-05,169.21704055366874,170.40650140888124,169.1427024012078,170.2578125,97953200
2015-02-06,170.62122529181084,171.18292062670562,169.26656461865574,169.78695678710938,125672000
2015-02-09,169.1426798861956,169.86130713891177,168.622287680321,169.02703857421875,87219000
2015-02-10,170.05955750358785,171.08380553916865,169.0683318377307,170.82774353027344,96164200
2015-02-11,170.6625165467923,171.35636432033186,170.0182275279404,170.9268341064453,91087800
2015-02-12,171.719840560346,172.62845989396322,170.9599101194834,172.5706329345703,97545900
2015-02-13,172.69454368851316,173.33056462266381,172.43846907159076,173.281005859375,93670400
2015-02-17,172.96709889458353,173.72704186582325,172.7193051039149,173.55357360839844,76968200
2015-02-18,173.18191747029533,173.6444828107608,172.9175872163378,173.5701446533203,80652900
2015-02-19,172.97536146007414,173.80962993740306,172.83494078194687,173.44618225097656,91462500
2015-02-20,173.033132833134,174.5612613340916,172.41362332257606,174.48692321777344,140896400
2015-02-23,174.23920742827661,174.4622344970703,173.85923585195994,174.4622344970703,74411100
2015-02-24,174.38784325925505,175.15604182724803,174.09047810454112,174.95779418945312,72472300
2015-02-25,174.83389192729734,175.31298091762983,174.47044423780673,174.80911254882812,73061700
2015-02-26,174.71830246796685,174.87524698081072,173.99966246725876,174.6026611328125,72697900
2015-02-27,174.5035195995795,174.7678498363769,173.95836054311377,174.00791931152344,108076000
2015-03-02,174.1070098663145,175.16430544173227,174.05745110558516,175.1064910888672,87491400
2015-03-03,174.67697275512717,175.15606181483415,173.52881517195365,174.3878631591797,110325800
2015-03-04,173.7930695743558,173.8674202974454,172.68621556515376,173.65264892578125,114497200
2015-03-05,173.9748649116038,174.12355381496485,173.3388439366605,173.84271240234375,76873000
2015-03-06,172.98366399574914,173.41319434208773,171.067320134475,171.39772033691406,188128000
2015-03-09,171.5959387365701,172.46324227095045,171.43899425580943,172.10806274414062,89818900
2015-03-10,170.74514307546252,170.82773680839537,169.27482842335175,169.31613159179688,157121300
2015-03-11,169.57217657973325,169.7456448282181,168.8370256294043,168.9196319580078,110145700
