Date,Open,High,Low,Close,Volume
2015-01-02,170.47258874432092,170.88559529706598,168.65534982907482,169.6878662109375,121465900
2015-01-05,168.6470660413276,168.8122661140158,166.3177160273211,166.6233367919922,169632600
2015-01-06,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400
2015-01-07,166.3754906183617,167.44930974013607,165.92944926830862,167.1106414794922,125346700
2015-01-08,168.5149312956221,170.29086705779733,168.4984201081495,170.0760955810547,147217800
2015-01-09,170.48908829723226,170.5056120873232,168.10191108942752,168.71316528320312,158567300
2015-01-12,168.84530078782205,169.0022452562674,166.78852411875266,167.39151000976562,144396100
2015-01-13,168.60579178755538,169.729170120032,165.6238839596993,166.9207305908203,214553300
2015-01-14,164.91346747166824,166.1111962382504,164.02138464722543,165.91294860839844,192991100
2015-01-15,166.54900663505038,166.86288300701946,164.27747086579527,164.3931121826172,176613900
2015-01-16,164.18662850345416,166.70597099593076,164.0049046119339,166.5490264892578,211879600
2015-01-20,167.18501618298058,167.44934637710867,165.34301083199585,166.9041748046875,130991100
2015-01-21,166.44164760507718,168.22583901130292,165.9790822636024,167.7467498779297,122942700
2015-01-22,168.4983992677013,170.37343973468046,167.12721463947537,170.2412872314453,174356000
2015-01-23,169.9852312963904,170.24130594621263,169.1757419827697,169.3079071044922,117516800
2015-01-26,169.09307382349303,169.7951770912514,168.38270236179068,169.70431518554688,92009700
2015-01-27,167.655845533799,168.60575536241527,166.63985315825929,167.4658660888672,134044600
2015-01-28,168.64700634144867,168.74612382918318,165.12819688338908,165.31817626953125,168514300
2015-01-29,165.5164476333486,167.1023906847634,164.11221580090753,166.84632873535156,173585400
2015-01-30,165.67343415017112,166.99504739330268,164.48397340858196,164.748291015625,197729700
2015-02-02,165.24387318713673,166.8793751012651,163.43490302874275,166.78851318359375,163107000
2015-02-03,167.68068495307872,169.20881446344757,167.3089815220046,169.20054626464844,124212900
2015-02-04,168.44057206127013,169.64655660572535,168.10190370106497,168.55621337890625,134306700
2015-02-05,169.2169950571287,170.40645559253682,169.14265692465472,170.2577667236328,97953200
2015-02-06,170.6212406255758,171.18293601095024,169.26657983067707,169.78697204589844,125672000
2015-02-09,169.1426646169671,169.86129180480972,168.6222724580705,169.0270233154297,87219000
2015-02-10,170.05955750358785,171.08380553916865,169.0683318377307,170.82774353027344,96164200
2015-02-11,170.66256225237188,171.35641021173268,170.01827306097127,170.9268798828125,91087800
2015-02-12,171.7198101932229,172.62842936615894,170.95987988674725,172.5706024169922,97545900
2015-02-13,172.69451327422047,173.33053409635758,172.43843870239692,173.28097534179688,93670400
2015-02-17,172.9671141018099,173.72705713986363,172.7193202893553,173.5535888671875,76968200
2015-02-18,173.18188702097638,173.64445228011232,172.91755681349412,173.5701141357422,80652900
2015-02-19,172.9753918948121,173.80966051892923,172.83497119197804,173.4462127685547,91462500
2015-02-20,173.03320849141335,174.56133766054108,172.4136987099765,174.48699951171875,140896400
2015-02-23,174.2391464711458,174.46217346191406,173.85917502776118,174.46217346191406,74411100
2015-02-24,174.38785846833633,175.1560571033271,174.090493287688,174.9578094482422,72472300
2015-02-25,174.83392244920137,175.31301152317158,174.4704746962613,174.80914306640625,73061700
2015-02-26,174.7182566612815,174.87520113297848,173.99961684898244,174.6026153564453,72697900
2015-02-27,174.5034583905861,174.76778853466683,173.95829952534078,174.0078582763672,108076000
2015-03-02,174.10702503800874,175.16432070555928,174.05746627296082,175.10650634765625,87491400
2015-03-03,174.67692690286944,175.15601583681678,173.52876962108434,174.3878173828125,110325800
2015-03-04,173.79314592999464,173.86749668575007,172.6862914344985,173.65272521972656,114497200
2015-03-05,173.97488018199235,174.12356909840437,173.33885915122326,173.8427276611328,76873000
2015-03-06,172.98363319579175,173.41316346565193,171.06728967572505,171.39768981933594,188128000
2015-03-09,171.5959539499552,172.46325756122909,171.4390094552801,172.1080780029297,89818900
2015-03-10,170.74511230031905,170.82770601836518,169.27479791321812,169.31610107421875,157121300
2015-03-11,169.57214594426426,169.74561416140978,168.83699512675014,168.9196014404297,110145700
2015-03-12,169.54741781479228,171.13336120593354,169.4978590531875,171.06729125976562,93993500
2015-03-13,170.79467305582406,171.75283834092306,168.9857029767861,170.01821899414062,162410900
2015-03-16,170.74518487235875,172.38068739069163,170.04306864879194,172.28982543945312,136099200
2015-03-17,171.55465239072544,172.1576383881858,170.96817757941653,171.77767944335938,94510400
2015-03-18,171.30686131999258,174.51179627508682,170.67082768526348,173.8427276611328,228808500
2015-03-19,173.42971522233455,173.8509773639673,172.66151648881646,173.04974365234375,117917300
2015-03-20,173.99636107467424,175.08326585229423,173.8138260948983,174.5771484375,177715100
2015-03-23,174.58553314874214,175.15802837331734,174.237060546875,174.237060546875,71784500
2015-03-24,174.112585767895,174.56891073329592,173.1916180726312,173.25799560546875,77805300
2015-03-25,173.46545013430293,173.69776520861421,170.67765658234543,170.71913146972656,159521700
2015-03-26,170.05534076691788,171.22520830472868,169.35838305008411,170.3125457763672,153067200
2015-03-27,170.19636661978635,170.87671404274337,170.00552650267113,170.70248413085938,118939000
2015-03-30,171.73129641311075,173.08371141679822,171.7147115290507,172.78501892089844,96180400
2015-03-31,171.96363121206426,172.66058888963727,171.21690621635824,171.2749786376953,126768700
2015-04-01,171.24182193973758,171.26671193265366,169.6819815291534,170.66932678222656,137303600
2015-04-02,170.60294970108774,171.73134247042432,170.4204146457377,171.28330993652344,86900900
2015-04-06,170.395456211234,172.95093329947434,170.26271385538638,172.4365234375,114368200
2015-04-07,172.46145215552548,173.20817713321736,171.94704217801407,171.980224609375,81236300
2015-04-08,172.20423971106177,173.00074463141883,171.81427969330997,172.56100463867188,89351900
2015-04-09,172.39506560943883,173.5566405495446,171.90554564612407,173.32432556152344,85548900
2015-04-10,173.57328798988937,174.3117206984161,173.37416803447064,174.27023315429688,72722900
2015-04-13,174.12917502382024,174.75975527148466,173.43222990187343,173.4820098876953,74436600
2015-04-14,173.28291138587718,173.99645414479616,172.66063616566487,173.8139190673828,75099900
2015-04-15,174.27851832960081,175.09991337221425,174.195543250851,174.5937957763672,99529300
2015-04-16,174.26191135152382,175.05012391611444,174.06277876943213,174.54400634765625,68934900
2015-04-17,173.35758646133294,173.59819398304518,171.75625826434415,172.5361785888672,191113200
2015-04-20,173.45716995112807,174.44451548892474,173.37420750422365,174.11264038085938,92189500
2015-04-21,174.79292391814982,174.95056896762836,173.60645881560166,173.9051513671875,72559800
2015-04-22,174.24534286718344,174.94230069064122,173.32437509425588,174.759765625,78264600
2015-04-23,174.36154886535184,175.84671979773134,174.24539130585492,175.19955444335938,102585900
2015-04-24,175.6143536888242,175.87155873444283,175.1580160303617,175.60604858398438,61327400
2015-04-27,176.17027656329202,176.29472655151122,174.68510584935564,174.87594604492188,79358100
2015-04-28,174.85102087644302,175.48158845695426,173.6811405816105,175.4318084716797,86863500
2015-04-29,174.54405651764822,175.3073793114101,173.90519637105058,174.7100067138672,125684900
2015-04-30,174.13749290674085,174.52745303792176,172.26236223504856,172.95932006835938,161304900
2015-05-01,173.7391862143041,174.87588389704135,173.63962625911066,174.8343963623047,103399700
2015-05-04,175.25756223646033,175.91303245626554,175.14970982400388,175.33224487304688,70927200
2015-05-05,175.09159061917188,175.44836820377265,173.1832780802404,173.32432556152344,113326200
2015-05-06,173.87197243782254,174.17895746152567,171.54880933841025,172.61082458496094,135060200
2015-05-07,172.51121080317245,173.72257829166836,172.17933588972457,173.29942321777344,88244900
2015-05-08,174.9672066267344,175.7803093912612,174.88423153107524,175.5811767578125,155877300
2015-05-11,175.5396971735505,175.80519468415648,174.66850933332694,174.74317932128906,75708100
2015-05-12,173.91342824033026,174.75972583742453,173.09202063195485,174.2204132080078,119727600
2015-05-13,174.62700942418684,175.24928460026194,174.02133179766892,174.25364685058594,94667900
2015-05-14,175.26588372196588,176.1619615027784,174.9920811228103,176.07069396972656,95934000
2015-05-15,176.2615509033203,176.40259844881396,175.7803231632827,176.2615509033203,76510100
2015-05-18,176.0955698911435,177.0580124734228,176.02919235784495,176.80911254882812,74549700
2015-05-19,176.92524966742405,177.1990522131285,176.46891209125,176.75100708007812,72114600
2015-05-20,176.85053574557546,177.37325075490276,176.31123585293534,176.62652587890625,76857500
2015-05-21,176.4854728196305,177.34835515256788,176.31952271002848,177.14093017578125,64764600
2015-05-22,176.75926356368856,177.17411351941092,176.65141118414758,176.71778869628906,57433500
2015-05-26,176.22829770881899,176.65145286603982,174.4029600049852,174.81781005859375,124308600
2015-05-27,175.2741862570893,176.70956421388289,174.86762855732204,176.4772491455078,93214000
2015-05-28,176.17025686369877,176.38597437256442,175.5894692165826,176.2781219482422,74974600
2015-05-29,176.2117246051281,176.2531994850872,174.91739437695398,175.18289184570312,124919600
2015-06-01,175.84662729540608,176.17850224503937,174.7514171732241,175.53964233398438,93338800
2015-06-02,175.0833377129909,176.0540854164766,174.46106257022674,175.3654327392578,91531000
2015-06-03,175.8964556652323,176.45235332192888,175.3405580085357,175.830078125,87820900
2015-06-04,175.1247532579522,175.78021056836454,174.0295433800399,174.34483337402344,151882800
2015-06-05,174.19554356303513,174.71825870761285,173.39073340655372,174.04620361328125,121704700
2015-06-08,173.93834636683118,174.08769898352278,172.90122113504552,172.97589111328125,89063300
2015-06-09,172.95098876953125,173.49030144767775,172.32042123131572,172.95098876953125,105034700
2015-06-10,173.71431032637201,175.40690566336218,173.65623790120128,175.02523803710938,134551300
2015-06-11,175.46498440269264,175.971102001252,175.23266937321156,175.58944702148438,73876400
2015-06-12,174.7680459769165,175.46499109192928,173.97152823103042,174.24533081054688,135382400
2015-06-15,173.1086361141157,173.78069119959363,172.40338593342784,173.49859619140625,124384200
2015-06-16,173.3492325606859,174.52741782155275,173.17500263268036,174.44444274902344,85308200
2015-06-17,174.72657775878906,175.33226807449984,173.70604996607278,174.72657775878906,126708600
2015-06-18,175.32394929798113,177.00823971096892,174.75975923225266,176.54360961914062,165867900
2015-06-19,176.3017778218902,176.3768109906399,175.38466335339805,175.7598419189453,130478700
2015-06-22,176.67701763935042,177.24395207329624,176.4519053332587,176.66033935546875,70696000
2015-06-23,176.8687638249379,177.1188871824413,176.39354089530357,176.78538513183594,68476800
2015-06-24,176.51854725890612,176.89372583021103,175.47637749317096,175.5013885498047,92307300
2015-06-25,176.00168702375012,176.1267423437939,174.89281653941904,174.9678497314453,97107400
2015-06-26,175.32633823537532,175.56812880012623,174.38422520408892,174.9344940185547,104174800
2015-06-29,173.45876660249095,174.94281557284336,171.19100380518373,171.2660369873047,202621300
2015-06-30,172.8001770178951,172.85021188107152,171.14938274364292,171.62461853027344,182925100
2015-07-01,173.19195405817197,173.44207737125143,172.21648458678231,173.0001983642578,135979900
2015-07-02,173.47545965044043,173.6422043099479,172.4249441241193,172.84181213378906,104373700
2015-07-06,171.55783748282298,173.12525230369525,171.35773628956693,172.34988403320312,117975400
2015-07-07,172.55001867707884,173.55883217437201,170.17386584349634,173.43377685546875,173820200
2015-07-08,172.09980861176086,172.38327583973646,170.29060275537043,170.5240478515625,164020100
2015-07-09,172.61668341636218,172.87515224406943,170.72411199229873,170.83248901367188,144113100
2015-07-10,172.82513914137888,173.40041904782046,170.87419984963972,172.98355102539062,129456900
2015-07-13,174.24250913650008,175.00119930594377,174.20081978785296,174.892822265625,106069400
2015-07-14,174.85106427755088,175.9599343628904,174.7926966679971,175.6514434814453,81709600
2015-07-15,175.693199165046,176.15175654972325,175.11791923897846,175.59315490722656,97914100
2015-07-16,176.6436079459637,177.0021209716797,176.40183015050818,177.0021209716797,106683300
2015-07-17,176.99380980423336,177.21058930613975,176.5852873062746,177.1522216796875,89030000
2015-07-20,177.37734308080402,177.73584347269255,176.92713121534828,177.2439422607422,70446800
2015-07-21,177.1104981066195,177.36896690292505,176.24341843197277,176.54356384277344,77965000
2015-07-22,175.8599150166322,176.56026287200874,175.82657117675748,176.2267608642578,88667900
2015-07-23,176.3601524260903,176.4601966622729,174.876103554315,175.23460388183594,90509100
2015-07-24,175.3346636099752,175.3930185080703,173.08357920770112,173.4170684814453,117755000
2015-07-27,172.53330165520254,173.04188104088917,171.9663546525979,172.40823364257812,132361100
2015-07-28,173.2420249526405,174.66771933333678,172.41663432543018,174.52598571777344,123544800
2015-07-29,174.65102063440906,175.95164681042806,174.50928703541234,175.72654724121094,105791300
2015-07-30,175.21795021419427,175.9349636396938,174.6009810316665,175.76821899414062,91304400
2015-07-31,176.2684239707699,176.29343502740363,175.21792142675645,175.5013885498047,103266900
2015-08-03,175.46812984148264,175.52648476133868,173.95905660227538,174.90951538085938,113965700
2015-08-04,174.83441582600307,175.29297311573126,174.08405860412074,174.567626953125,81820800
2015-08-05,175.45974010894733,176.1767535837583,174.85944916623106,175.14292907714844,85786800
2015-08-06,175.32631450183948,175.4347042383865,173.1252522637311,173.70887756347656,116030800
2015-08-07,173.55050215836098,173.70056854343548,172.47497551144963,173.3754119873047,117858000
2015-08-10,174.4842726082692,175.64316516294912,174.4842726082692,175.55979919433594,80270700
2015-08-11,174.22578553646764,174.64265347090495,173.2169595375375,173.9756622314453,126081400
2015-08-12,172.67505252000194,174.36753547494192,171.2160146125157,174.18411254882812,172123700
2015-08-13,174.0257163564138,174.7093860011013,173.4254254026694,173.9673614501953,89383300
2015-08-14,173.77560986168024,174.67604637963953,173.63387625077044,174.60101318359375,72786500
2015-08-17,174.00907700255445,175.5764923095703,173.55051957690992,175.5764923095703,79072600
2015-08-18,175.30136197924693,175.65152964294157,174.83447176098744,175.0679168701172,71692700
2015-08-19,174.32583589007928,175.09287138975742,172.87514356925766,173.68386840820312,172946000
2015-08-20,172.17479724965054,173.65884614356457,169.998746027617,170.05711364746094,194327900
2015-08-21,168.18958459097217,170.03214702105623,164.67956263609406,164.93801879882812,346588500
2015-08-24,156.31719117881585,164.6462069534633,152.07346461980424,157.9929962158203,507244300
2015-08-25,162.937051181498,162.953729466756,155.8419610598146,156.13377380371094,369833100
2015-08-26,160.14404551360946,162.40346341649578,157.0508787165583,162.1283416748047,339257000
2015-08-27,164.26268936314614,166.26365090686062,162.75362906333933,166.1385955810547,274143900
2015-08-28,165.49659854882236,166.61380175279606,165.0130301347587,166.14691162109375,160414400
2015-08-31,165.17139594973068,166.02181000776918,164.25428150265006,164.80455017089844,163298800
2015-09-01,161.01111043486603,162.38678262332616,159.01848167867516,159.8855743408203,256000400
2015-09-02,162.26167538279665,162.96202320130396,160.42745896303018,162.9203338623047,160269300
2015-09-03,163.62900898451664,165.1214034229012,162.54516245333764,163.0370635986328,152087800
2015-09-04,160.78599337005926,161.62806215377893,159.75215614582967,160.5692138671875,207081000
2015-09-08,163.362203403593,164.7545407372646,162.72022324123685,164.60446166992188,116025700
2015-09-09,166.1802472312169,166.30530252865324,162.03657875215427,162.40341186523438,149347700
2015-09-10,162.21162888709986,164.42936908185118,161.9531728346661,163.2871551513672,158611100
2015-09-11,162.89529368431928,164.09587519080304,162.18661321341497,164.0291748046875,119691200
2015-09-14,164.20426116280294,164.25428327467455,162.93697920092842,163.42054748535156,79452000
2015-09-15,163.92080987050704,165.90510531161007,163.3788866438561,165.46322631835938,113806200
2015-09-16,165.76339385199034,167.08903100857285,165.4215590465416,166.8972625732422,99581600
2015-09-17,166.76380889622376,169.15662614966107,166.14683993307912,166.5220184326172,276046600
2015-09-18,164.01877931187536,166.50783687324343,163.39022645170527,163.80087280273438,223657500
2015-09-21,164.6305281045718,165.66972706910326,163.59970523919577,164.6472930908203,105726200
2015-09-22,162.48509755782862,162.971179937286,161.3788384622485,162.51023864746094,153890900
2015-09-23,162.67780792921184,163.14712519772604,161.67212624126188,162.25039672851562,92790600
2015-09-24,161.03525019150445,162.12474445816738,159.70272109335767,161.66380310058594,159378800
2015-09-25,163.1220738481947,163.423779799342,160.7503323298869,161.62193298339844,155054800
2015-09-28,160.72523520008556,160.83418850856506,157.25562220673473,157.56570434570312,178515900
2015-09-29,157.78352463470284,159.0154891991918,156.66050053114188,157.65780639648438,159045600
2015-09-30,159.54344943762996,160.76703778299435,158.764050145454,160.59942626953125,163452000
2015-10-01,160.97658756861168,161.32019955209685,159.08255279057036,161.01849365234375,131079000
2015-10-02,159.04064658051715,163.44889292368572,158.49589306831552,163.4237518310547,211003300
2015-10-05,164.64734619822048,166.55814603288178,164.53839293436835,166.3318634033203,126320800
2015-10-06,166.1977784415177,166.75928420829425,165.09990800289916,165.76197814941406,110274500
2015-10-07,166.69218957934794,167.4716016642994,165.50213120205433,167.11961364746094,124307300
2015-10-08,166.73412628130978,168.91311473391343,166.4324203846099,168.628173828125,153055200
2015-10-09,168.77063532913212,169.20642276618494,168.10017639559013,168.72872924804688,107069200
2015-10-12,168.80414255469205,169.08908342854323,168.3767312439153,168.88795471191406,56395600
2015-10-13,168.15881617556323,169.42431063021064,167.65598162169104,167.82359313964844,88038700
2015-10-14,167.76494043382095,168.34321110380344,166.72574123600018,167.01905822753906,99106200
2015-10-15,167.6810884036993,169.59188745094457,167.31233546687366,169.58351135253906,134142200
2015-10-16,169.98586114814174,170.37136646247572,169.2232138338629,170.3546142578125,114580100
2015-10-19,169.70923741616932,170.4383544921875,169.39915549426513,170.4383544921875,76523900
2015-10-20,170.00261102800798,170.8322926630684,169.7511873130431,170.2205047607422,78448500
2015-10-21,170.639550390483,170.79039695586204,168.9969264357949,169.16455078125,102038000
2015-10-22,170.1114939640774,172.231810651103,169.16448328739693,172.0222930908203,174911700
2015-10-23,173.69011103451444,174.27675782662064,172.89394661751743,173.9080047607422,144442300
2015-10-26,173.73201452401705,173.79067280838166,173.1118377599379,173.4805908203125,69033000
2015-10-27,172.81010415201033,173.48056299169156,172.4664922383321,173.1453399658203,77905800
2015-10-28,173.480587526555,175.13996347879436,172.81851748104603,175.1148223876953,135906700
2015-10-29,174.6120119254061,175.38303533093182,174.49468255473792,175.0142822265625,90525500
2015-10-30,175.20700293085025,175.5254737879926,174.10075660741566,174.25997924804688,131076900
2015-11-02,174.58688617311827,176.51443846235014,174.46116790124873,176.32168579101562,86270800
2015-11-03,175.96967410022543,177.3860153733307,175.74339147149564,176.8328857421875,95246100
2015-11-04,177.12621850842723,177.25192397763175,175.76015939934234,176.29652404785156,96224500
2015-11-05,176.3551573584658,176.8160986601643,175.23214603282946,176.12049865722656,78408700
2015-11-06,175.7769398695307,176.26302237316085,174.70421047805144,176.02835083007812,110471500
2015-11-09,175.4165348072266,175.56739414738445,173.43868791009058,174.38571166992188,131008700
2015-11-10,173.9079873730397,174.82149384506457,173.63981148972155,174.7879638671875,75874600
2015-11-11,175.05613820965038,175.10642038441057,174.03369136306415,174.10073852539062,67846000
2015-11-12,173.0615952943574,173.5309128287457,171.65364269119257,171.67039489746094,121315200
2015-11-13,171.25967005237672,171.5278458972901,169.6589527183827,169.7427520751953,153577100
2015-11-16,169.5584285031652,172.3827219761185,169.44108635756888,172.3240509033203,117645200
2015-11-17,172.6341033533533,173.5140669260381,171.7038448214845,172.19830322265625,121123700
2015-11-18,172.67602370486216,175.07290561750696,172.63413041421526,174.93043518066406,121342500
2015-11-19,174.81313450517308,175.1986525882852,174.48628749929313,174.7796173095703,88220500
2015-11-20,175.53384851339226,176.09535416536397,175.03939003018522,175.41651916503906,94011500
2015-11-23,175.4752234196192,175.97805809854208,174.754482204015,175.21542358398438,64931200
2015-11-24,174.20970448066703,175.85232822831483,173.82419922577145,175.45005798339844,98874400
2015-11-25,175.5757580407517,175.77689955099623,175.16509891948007,175.42491149902344,51980100
2015-11-27,175.51711484805486,175.8272096574253,175.0394212687719,175.62606811523438,37317800
2015-11-30,175.78526418784404,175.9025935308499,174.78795837832422,174.89691162109375,112822700
2015-12-01,175.5254524613775,176.681993612213,175.2488877171369,176.5646514892578,97858400
2015-12-02,176.5143660168775,176.83283682937392,174.51137847141774,174.76280212402344,108441300
2015-12-03,175.01424632913574,175.28242221225327,171.59491750079425,172.31565856933594,166224200
2015-12-04,172.3156725330037,175.96966035065273,172.3156725330037,175.67633056640625,192913900
2015-12-07,175.34947755684817,175.76851278396063,173.6481955578069,174.6119842529297,102027100
2015-12-08,173.05320013551412,174.561716961954,172.4581643919731,173.43870544433594,103372400
2015-12-09,172.80172035190606,174.88850725265175,171.11719083392987,172.08935546875,162401500
2015-12-10,172.1564097185433,173.84092651795578,171.92175104363824,172.53353881835938,116128900
2015-12-11,170.42164670400737,171.0837167933455,168.8795872161852,169.18968200683594,211173300
2015-12-14,169.3489225829156,170.1702281432619,167.57220431685354,170.0445098876953,182385200
2015-12-15,171.55302505022993,172.73470749855906,170.01935453413182,171.82958984375,154069600
2015-12-16,172.9526108886259,174.64551693695873,171.63684680850224,174.34381103515625,197017000
2015-12-17,174.65388239389682,174.72092956664895,171.67035354010022,171.68711853027344,173092500
2015-12-18,170.94690416829022,171.08178369521318,168.46831115642496,168.6284942626953,251393500
2015-12-21,169.80035600673932,170.1965943918638,168.6875130023776,170.01954650878906,99094300
2015-12-22,170.90474783070158,171.8574076490797,169.91837134677345,171.5623321533203,111026200
2015-12-23,172.56563562867956,173.72906040239997,172.4728986849185,173.68690490722656,110987200
2015-12-24,173.43393705200427,173.94820307781427,173.18101701464653,173.40020751953125,48539600
2015-12-28,172.70889178931722,173.0461099010935,171.93327984099471,173.00396728515625,65899900
2015-12-29,174.09991383300613,175.17902711134462,174.06619717107773,174.85023498535156,92640700
2015-12-30,174.60579258526704,174.6901035548786,173.46765881575018,173.61097717285156,63317700
2015-12-31,172.9365137681449,173.57723329901134,171.87425231933594,171.87425231933594,114877900
2016-01-04,169.0247378144135,169.47998356786456,167.42291956654066,169.4715576171875,222353500
2016-01-05,169.7918953745946,170.21342442255937,168.65377466351708,169.7581787109375,110845800
2016-01-06,167.21218979593286,168.66225118483942,166.58833485087854,167.6168670654297,152112600
2016-01-07,164.6745725350337,166.45342598970592,163.20764652208442,163.595458984375,213436100
2016-01-08,164.55650127523245,165.11292267031985,161.51306122906905,161.79969787597656,209817200
2016-01-11,162.7186624135249,163.05589341995838,160.02931749748547,161.9599151611328,187941300
2016-01-12,163.40146337567285,164.01689194666832,161.14206185973615,163.26657104492188,172330500
2016-01-13,163.93270144490674,164.27835847235212,158.81534370434633,159.19471740722656,221168900
2016-01-14,159.80166644313084,162.92940481013775,158.20828713856892,161.80813598632812,240795600
2016-01-15,157.45800285707142,159.13568064709096,156.4041799782958,158.33477783203125,324846400
2016-01-19,160.14736603081948,160.27381963470282,156.97745847695202,158.54554748535156,195244400
2016-01-20,155.99105620650136,158.07341096946286,152.61039748829143,156.5137481689453,286547800
2016-01-21,156.98589956251828,159.22842497611094,155.66229179050984,157.39056396484375,195772900
2016-01-22,159.9956237238477,160.8218173621808,159.23687630187553,160.61949157714844,168319600
2016-01-25,160.11362383775347,160.30752363639772,157.9975522277229,158.1914520263672,130371700
2016-01-26,158.84896734803982,160.62782002458823,158.51174933498638,160.349609375,141036800
2016-01-27,159.82693898727493,161.49619024417947,157.70242920136823,158.60450744628906,185681700
2016-01-28,160.1472990063032,160.34962468783962,157.78673409737553,159.43069458007812,143798800
2016-01-29,160.19791755880993,163.45212261959614,160.07988992920824,163.31723022460938,210529300
2016-02-01,162.31398819603547,164.04226001473677,161.73227600136582,163.25820922851562,136061600
2016-02-02,161.83347120425384,161.84189715589827,159.7932588700517,160.3159637451172,182564900
2016-02-03,161.3697602245639,161.68168761708515,157.7361817318406,161.2770233154297,205054900
2016-02-04,160.77963173464707,162.49946476772794,160.14733809741855,161.5299530029297,139531800
2016-02-05,161.01569349009503,161.5889669028916,157.82049564391338,158.45278930664062,180788300
2016-02-08,156.61493026107567,156.9099929217756,154.1110463004901,156.31985473632812,191526700
2016-02-09,154.58316887226096,157.60131910006854,154.44827645822463,156.3282928466797,184513100
2016-02-10,157.1544756864922,158.7815717708362,156.06692344935064,156.19338989257812,148214100
2016-02-11,153.72321201774534,155.20700251784558,152.66938938485407,154.16160583496094,219058900
2016-02-12,155.93207520421836,157.3568329836755,155.08901686974585,157.33998107910156,127632400
2016-02-16,159.14410602685712,160.02088092779238,158.18302015711848,159.99559020996094,120250700
2016-02-17,161.15900869027703,162.98001749067555,161.03254224177735,162.60906982421875,136009500
2016-02-18,162.87886470694102,162.93788496403232,161.63114199637977,161.9430694580078,102343000
2016-02-19,161.16743240085756,162.01891654044448,160.56042947582927,161.86717224121094,114793000
2016-02-22,163.44366003440703,164.35416427207795,163.37621384672272,164.21084594726562,103640300
2016-02-23,163.5532945241324,163.82307932901813,162.01892239045185,162.136962890625,111455300
2016-02-24,160.71222239458268,163.15708654029385,159.60781797985007,162.87887573242188,150812200
2016-02-25,163.3256446324791,164.86001657290862,162.5668974763839,164.85157775878906,110728300
2016-02-26,165.71996446159756,165.81268851853963,164.3120458800102,164.47222900390625,129833700
2016-02-29,164.48908530726592,165.43330637127323,162.98844274594833,163.18234252929688,125918100
2016-03-01,164.40474909828157,167.10254520529068,163.93263863876854,167.0182342529297,141799700
2016-03-02,166.70632132039938,167.81915137646766,166.29321820053025,167.76856994628906,102415000
2016-03-03,167.59153048775184,168.44302748531464,167.0182570982276,168.42616271972656,95172200
2016-03-04,168.62003825160113,169.7497458306991,167.79384495325377,168.97412109375,129293600
2016-03-07,168.05523173245695,169.51373179540596,167.9793595758545,169.1090545654297,100219000
2016-03-08,168.0383659502354,168.54419314985492,167.10257083728501,167.2627410888672,123974900
2016-03-09,168.07210923048493,168.43461813774294,167.2880582940595,168.08897399902344,94801200
2016-03-10,168.57791165780847,169.5137067095646,166.40282010875242,168.22381591796875,156838700
2016-03-11,169.67384382062787,170.98058625779174,168.20693117363018,170.9384307861328,137964500
2016-03-14,170.43270829208885,171.17459101950473,170.10391599387964,170.71934509277344,73612000
2016-03-15,169.75818029203575,170.74455672977479,169.49683433811077,170.44105529785156,93169100
2016-03-16,169.96054660976955,171.83213693477836,169.9183911248905,171.42745971679688,129303200
2016-03-17,171.34316418983127,173.02084188245536,170.94692578129084,172.5150146484375,134278500
2016-03-18,173.0149863304641,173.5319048209772,172.7014500581585,173.1929473876953,138372400
2016-03-21,172.93028446198593,173.66752412335737,172.70148104175357,173.438720703125,72926700
2016-03-22,172.66754644663476,173.91323505526816,172.50655007068661,173.34547424316406,97471900
2016-03-23,172.96412238673693,173.150552830856,172.0319701661417,172.2014617919922,81052500
2016-03-24,171.17612242849734,172.15911712593663,170.95580138130484,172.12521362304688,84360900
2016-03-28,172.54038859451902,172.75224015887895,171.7777281349806,172.2268524169922,62408200
2016-03-29,171.82008233027528,173.93012849534293,171.51501557063168,173.81996154785156,92922900
2016-03-30,174.81989904080604,175.3029138438038,174.21823495839973,174.58262634277344,86365300
2016-03-31,174.48948461704867,174.91318788914268,173.9979872697719,174.15899658203125,94584100
2016-04-01,173.1675392516827,175.5317979130874,172.85399002539597,175.34536743164062,114423500
2016-04-04,175.26902399778817,175.47240613852486,174.47246010955988,174.77752685546875,63497000
2016-04-05,173.43864226417537,174.7860151498737,172.77766639834624,173.03189086914062,99662200
2016-04-06,173.03194835987722,174.98098604302,172.85398729207458,174.92166137695312,91839800
2016-04-07,173.83693734939823,174.1928464631695,172.09975175353787,172.82852172851562,113859000
2016-04-08,174.00645032583586,174.43863592304353,172.7607617169382,173.2946319580078,95040600
2016-04-11,173.9301694457003,174.62504892364467,172.79464793483095,172.8878631591797,83757500
2016-04-12,173.0573365069002,174.7775704690855,172.6166815572068,174.4979248046875,115350600
2016-04-13,175.41312217712402,176.34527437534416,175.2775340518565,176.26052856445312,96336400
2016-04-14,176.31986770012065,176.76899208786213,175.92158563093162,176.26901245117188,65212900
