fold,train_start,train_end,validation_start,validation_end,test_start,test_end,best_validation_loss,test_ic,top_return,bottom_return,long_short_return,hit_rate,sharpe
1,2015-10-16,2018-10-15,2018-10-16,2019-04-15,2019-04-16,2019-07-15,0.3802680523164811,0.007429130009775171,-0.0004267990636083508,9.204727417278675e-05,-0.0005188463668849679,0.46774193548387094,-0.5887876772966169
2,2016-01-16,2019-01-15,2019-01-16,2019-07-15,2019-07-16,2019-10-15,0.3793136642825219,0.0021445221445221497,0.00015507526874828796,0.0010778181532469506,-0.0009227430143465216,0.5076923076923077,-0.902860355282842
3,2016-04-16,2019-04-15,2019-04-16,2019-10-15,2019-10-16,2020-01-15,0.3827042425241996,0.12515632515632516,0.00589208327425969,0.0006200567004270852,0.005272026576604399,0.6666666666666666,4.711760910806321
4,2016-07-16,2019-07-15,2019-07-16,2020-01-15,2020-01-16,2020-04-15,0.3766208149492741,0.11378299120234601,0.0062721995599267465,-0.0018343452454334306,0.008106544790338845,0.6774193548387096,2.9994298573725287
5,2016-10-16,2019-10-15,2019-10-16,2020-04-15,2020-04-16,2020-07-15,0.37402437658309934,-0.009908609908609908,0.0067223649608740025,0.0060099390804738044,0.0007124258693130244,0.4444444444444444,0.5483384127980588
6,2017-01-16,2020-01-15,2020-01-16,2020-07-15,2020-07-16,2020-10-15,0.37888953924179075,0.0467132867132867,0.0035485764893774803,-0.0006174962490779133,0.004166072821960999,0.5076923076923077,1.8676139385991535
7,2017-04-16,2020-04-15,2020-04-16,2020-10-15,2020-10-16,2021-01-15,0.3812745355069637,-0.027994227994228005,0.001661408273133612,0.006446976321823303,-0.004785567886077814,0.5238095238095238,-2.2600056807146314
8,2017-07-16,2020-07-15,2020-07-16,2021-01-15,2021-01-16,2021-04-15,0.37924766167998314,-0.02414307004470938,0.002042336610802373,0.0036369748757083395,-0.0015946382725397583,0.45901639344262296,-1.041072138508301
9,2017-10-16,2020-10-15,2020-10-16,2021-04-15,2021-04-16,2021-07-15,0.3840278960043384,-0.021837421837421832,0.0002550016146241909,0.001565387347779636,-0.0013103857008178556,0.5079365079365079,-1.3759045193649113
10,2018-01-16,2021-01-15,2021-01-16,2021-07-15,2021-07-16,2021-10-15,0.3861990109566719,-0.01389277389277389,0.0023522190713825136,0.0017461509340836738,0.0006060681270005611,0.46153846153846156,0.7688460969136814
11,2018-04-16,2021-04-15,2021-04-16,2021-10-15,2021-10-16,2022-01-15,0.3845584824681282,0.02202982202982204,0.00300240567848382,-0.00019511254411929893,0.003197518110807453,0.5396825396825397,1.787890952292049
12,2018-07-16,2021-07-15,2021-07-16,2022-01-15,2022-01-16,2022-04-15,0.3807695984840393,-0.05219941348973607,0.000164009157508131,-0.001288532306657984,0.0014525415045359442,0.43548387096774194,0.7501355987988007
13,2018-10-16,2021-10-15,2021-10-16,2022-04-15,2022-04-16,2022-07-15,0.37633451862335204,-0.05591397849462365,-0.0049003532077486235,0.0001983801372379305,-0.005098733360007886,0.46774193548387094,-3.3626540974195724
14,2019-01-16,2022-01-15,2022-01-16,2022-07-15,2022-07-16,2022-10-15,0.38392034192239083,-0.06837121212121211,-0.002379562756686937,0.003338415303005604,-0.00571797812517616,0.40625,-4.470953754022136
15,2019-04-16,2022-04-15,2022-04-16,2022-10-15,2022-10-16,2023-01-15,0.3824816628107949,0.009972162339722444,0.0024092975603003477,0.000343661560046096,0.002065635988518836,0.5161290322580645,1.4865041473264458
16,2019-07-16,2022-07-15,2022-07-16,2023-01-15,2023-01-16,2023-04-15,0.37915472709943376,0.05141739980449656,0.007367473884275363,0.0007386131628957246,0.006628860820895962,0.5645161290322581,3.6724303114127057
17,2019-10-16,2022-10-15,2022-10-16,2023-04-15,2023-04-16,2023-07-15,0.3816990875428723,0.054545454545454536,0.005335725822313238,0.0032108517470694478,0.0021248739588284687,0.6129032258064516,1.4926572812177805
18,2020-01-16,2023-01-15,2023-01-16,2023-07-15,2023-07-16,2023-10-15,0.3832392804084286,0.029924242424242426,0.00010113508687936701,-0.00013042862883594353,0.00023156366114562843,0.5,0.2376227203797037
19,2020-04-16,2023-04-15,2023-04-16,2023-10-15,2023-10-16,2024-01-15,0.38386068514415195,0.0056695992179863226,0.002000850324909533,-3.5672869642205057e-05,0.002036523265433648,0.46774193548387094,1.9672043882395853
20,2020-07-16,2023-07-15,2023-07-16,2024-01-15,2024-01-16,2024-04-15,0.381428729541718,-0.08417508417508417,0.0004360085604564538,0.00374708688607262,-0.003311078461434042,0.47619047619047616,-2.535591056580356
21,2020-10-16,2023-10-15,2023-10-16,2024-04-15,2024-04-16,2024-07-15,0.3812271053314209,-0.012707722385141744,0.006265757934025098,0.0020814052024375525,0.004184352639581888,0.5645161290322581,2.8878508804341707
22,2021-01-16,2024-01-15,2024-01-16,2024-07-15,2024-07-16,2024-10-15,0.38353684196472165,-0.018927738927738916,-0.00046281688577996994,9.662671945989131e-05,-0.0005594436544924975,0.5076923076923077,-0.33584422096870553
