Date,Ticker,prediction,actual_target,actual_return,portfolio_side
2025-01-22,AAPL,0.024855032563209534,-0.47482568,-0.0007595152,LONG
2025-01-22,GOOGL,-0.01160314679145813,-0.6261694,-0.0019658762,LONG
2025-01-22,TSLA,-0.0967845618724823,-1.2045971,-0.006576523,SHORT
2025-01-22,XOM,-0.1080797091126442,0.3306102,0.0056606145,SHORT
2025-01-23,AAPL,0.025376707315444946,-0.07204842,-0.003934463,LONG
2025-01-23,GOOGL,-0.011182993650436401,0.91887045,0.0112637235,LONG
2025-01-23,TSLA,-0.10517533868551254,-0.73254067,-0.014064742,SHORT
2025-01-23,XOM,-0.1115560308098793,-0.69748247,-0.0135270385,SHORT
2025-01-24,AAPL,0.024180740118026733,0.9036679,0.031780235,LONG
2025-01-24,GOOGL,-0.01178404688835144,-0.08065762,-0.041956086,LONG
2025-01-24,TSLA,-0.11067219078540802,0.16980971,-0.02319345,SHORT
2025-01-24,XOM,-0.1171388030052185,0.6649335,0.013896521,SHORT
2025-01-27,AAPL,0.023143768310546875,0.509089,0.036543835,LONG
2025-01-27,NVDA,-0.003001481294631958,2.3586147,0.089258656,LONG
2025-01-27,TSLA,-0.11108549684286118,-0.690027,0.0023668702,SHORT
2025-01-27,XOM,-0.12232258170843124,-1.4514028,-0.019333713,SHORT
2025-01-28,AAPL,0.008808925747871399,0.80960345,0.004616856,LONG
2025-01-28,NVDA,-0.00826522707939148,-2.3225362,-0.041011047,LONG
2025-01-28,TSLA,-0.11419829726219177,-1.0575249,-0.022582809,SHORT
2025-01-28,XOM,-0.12359920144081116,0.8929576,0.0058311303,SHORT
2025-01-29,AAPL,-0.0009819567203521729,-0.45895192,-0.0073946565,LONG
2025-01-29,NVDA,-0.00516916811466217,0.05746189,0.007679887,LONG
2025-01-29,TSLA,-0.1109231561422348,0.778684,0.028732954,SHORT
2025-01-29,XOM,-0.12309509515762329,0.07809011,0.008282042,SHORT
2025-01-30,NVDA,-0.006981417536735535,-1.917614,-0.036742847,LONG
