Date,base_return,realized_volatility,exposure_multiplier,gross_return,turnover,transaction_cost,net_return,equity_curve,high_water_mark,drawdown
2025-01-22,-0.00045237072500000004,,1.0,-0.00045237072500000004,1.0,0.001,-0.001452370725,0.998547629275,0.998547629275,0.0
2025-01-23,0.00873026025,,1.0,0.00873026025,0.0,0.0,0.00873026025,1.0072652099505912,1.0072652099505912,0.0
2025-01-24,-0.00021973049999999975,,1.0,-0.00021973049999999975,0.0,0.0,-0.00021973049999999975,1.0070438830623762,1.0072652099505912,-0.0002197304999999039
2025-01-27,0.03569233345,,1.0,0.03569233345,0.5,0.0005,0.03519233345,1.0424841071938902,1.0424841071938902,0.0
2025-01-28,-0.004910628075,,1.0,-0.004910628075,0.0,0.0,-0.004910628075,1.0373648554693626,1.0424841071938902,-0.004910628074999868
2025-01-29,-0.009182441375,,1.0,-0.009182441375,0.0,0.0,-0.009182441375,1.0278393134995298,1.0424841071938902,-0.014047977895586872
2025-01-30,-0.007305162125,,1.0,-0.007305162125,0.0,0.0,-0.007305162125,1.0203307806759672,1.0424841071938902,-0.021250517264531088
2025-01-31,-0.003246081175,,1.0,-0.003246081175,0.0,0.0,-0.003246081175,1.0170187041365417,1.0424841071938902,-0.02442761753547973
2025-02-03,0.0015504255000000017,,1.0,0.0015504255000000017,1.0,0.001,0.0005504255000000017,1.0175784971652755,1.0424841071938902,-0.023890637619075505
2025-02-04,-0.005269006675,,1.0,-0.005269006675,0.0,0.0,-0.005269006675,1.012216869271375,1.0424841071938902,-0.02903376436499061
2025-02-05,0.008837071174999999,,1.0,0.008837071174999999,0.0,0.0,0.008837071174999999,1.021161901789662,1.0424841071938902,-0.02045326663216218
2025-02-06,0.001507018999999999,,1.0,0.001507018999999999,0.5,0.0005,0.001007018999999999,1.0221902312268403,1.0424841071938902,-0.019466844460272914
2025-02-07,0.011459361900000003,,1.0,0.011459361900000003,0.0,0.0,0.011459361900000003,1.0339038790171133,1.0424841071938902,-0.008230560175994106
