feature,horizon,split,days,mean_ic,median_ic,ic_std,icir,positive_ic_pct
rsi_14,3,validation,412,0.007708149455722272,-0.006060606060606061,0.3576555462035099,0.02155188011913633,49.271844660194176
macd,3,validation,412,-0.038334804354221826,-0.06666666666666665,0.3822024865619048,-0.10029972515108897,43.932038834951456
macd_signal,3,validation,412,-0.04268902618417181,-0.04242424242424241,0.36595530027259193,-0.11665093018839652,44.90291262135923
macd_hist,3,validation,412,-0.00014710208884965938,-0.006060606060606061,0.35541993652670945,-0.00041388249147527716,48.786407766990294
volume_change,3,validation,412,0.012238893792291847,0.0303030303030303,0.3518150087034463,0.034787867173137914,52.42718446601942
volume_ratio_20,3,validation,412,0.0029420417769932387,0.006060606060606061,0.33836792500067026,0.008694801012795203,50.48543689320388
relative_strength_1d,3,validation,412,0.009208590761988817,0.01818181818181818,0.3904119940629521,0.02358685414901463,52.18446601941748
relative_strength_20d,3,validation,412,-8.826125330979865e-05,-0.006060606060606061,0.4052596709668249,-0.00021778938205036403,49.75728155339806
beta_60,3,validation,412,0.037540453074433655,0.09090909090909088,0.46799473838860295,0.0802155451655135,56.310679611650485
return_1d,5,validation,412,-0.012238893792291854,-0.02424242424242424,0.37574518946749136,-0.03257232330675184,47.57281553398058
return_5d,5,validation,412,-0.014180641365107379,-0.02424242424242424,0.3677474639626225,-0.038560813478644915,47.33009708737864
return_10d,5,validation,412,-0.04530744336569579,-0.060606060606060594,0.38025327484057087,-0.11915069866181134,45.63106796116505
return_20d,5,validation,412,-0.03165636952044719,-0.04242424242424241,0.39038985905098006,-0.08108911844534686,46.84466019417476
return_60d,5,validation,412,-0.0012944983818770266,-0.01818181818181818,0.40215928726724287,-0.0032188697932936374,48.30097087378641
price_ma20_ratio,5,validation,412,-0.030155928214180637,-0.01818181818181818,0.3774481070328657,-0.07989423619378454,48.05825242718447
price_ma50_ratio,5,validation,412,-0.06378346572521329,-0.10303030303030303,0.40304915166773997,-0.15825232595401717,41.74757281553398
price_ma200_ratio,5,validation,412,-0.0017946454839658612,0.02424242424242424,0.44521805753024607,-0.004030935973085371,51.45631067961165
