cost_bps,days,total_return,CAGR,annualized_volatility,Sharpe,Sortino,max_drawdown,Calmar,hit_rate,mean_daily_return,median_daily_return,best_day,worst_day,average_turnover,total_turnover,total_transaction_cost,average_transaction_cost,gross_total_return
0.0,411,3.212722750430241,1.4151475164992826,0.30662632924729555,3.032605347083667,3.33920985344737,-0.15080620051996008,9.38388150898331,0.583941605839416,0.003689986689015815,0.003789517499999999,0.0840619252,-0.0565002785,0.340632603406326,140.0,0.0,0.0,3.212722750430241
5.0,411,2.9283276563363496,1.3138315110390573,0.30687062382314934,2.8903285904418956,3.177106847062048,-0.15718569139137306,8.35846761501833,0.5790754257907542,0.003519670387312652,0.003289517499999999,0.0840619252,-0.0570002785,0.340632603406326,140.0,0.07,0.00017031630170316302,3.212722750430241
10.0,411,2.6629800281720972,1.2167094649476455,0.3071739130649514,2.7477503579385045,3.0063451893219275,-0.1635204309693835,7.44071831106814,0.5766423357664233,0.0033493540856094892,0.0029833413,0.0840619252,-0.0575002785,0.340632603406326,140.0,0.14,0.00034063260340632605,3.212722750430241
20.0,411,2.1844483413735003,1.0343690189544716,0.3079567444365331,2.4620269801282246,2.683647962216264,-0.17748121767237324,5.828047793000249,0.5669099756690997,0.003008721482203163,0.0029796126500000004,0.0840619252,-0.0585002785,0.340632603406326,140.0,0.28,0.0006812652068126521,3.212722750430241
