factor,mean_ic,ic_std,icir,positive_pct,abs_ic,fold
price_ma200_ratio,0.07172954030096887,0.3515495358057537,0.20403821651069548,57.55102040816327,0.07172954030096887,1
volatility_60,0.071581117295403,0.38693510271505704,0.18499514981486717,58.77551020408164,0.071581117295403,1
beta_60,0.0697670583384869,0.37700786631663863,0.18505464891252812,60.544217687074834,0.0697670583384869,1
macd_hist,-0.06808493094207378,0.34572632054594615,-0.1969330273568959,39.31972789115646,0.06808493094207378,1
macd,-0.05568336425479282,0.3245829097315547,-0.17155359258084654,41.63265306122449,0.05568336425479282,1
macd_signal,-0.04272108843537415,0.32828144475793763,-0.13013555629644274,44.21768707482993,0.04272108843537415,1
return_60d,0.029824778396206973,0.33645347813761517,0.08864458337983991,51.29251700680272,0.029824778396206973,1
volatility_10,0.02769738198309626,0.3376318232503121,0.08203427543191652,53.605442176870746,0.02769738198309626,1
volatility_20,0.01692846835703977,0.3571838668171711,0.04739426925378131,51.83673469387755,0.01692846835703977,1
momentum_5,-0.011519274376417232,0.3596723186484454,-0.03202713631036065,49.1156462585034,0.011519274376417232,1
return_5d,-0.011519274376417232,0.3596723186484454,-0.03202713631036065,49.1156462585034,0.011519274376417232,1
return_10d,-0.01085961657390229,0.3499027099526231,-0.03103610307954655,45.442176870748305,0.01085961657390229,1
momentum_10,-0.01085961657390229,0.3499027099526231,-0.03103610307954655,45.442176870748305,0.01085961657390229,1
volume_change,0.005928674500103071,0.3432679081517235,0.01727127517403291,52.51700680272109,0.005928674500103071,1
rsi_14,-0.005714285714285711,0.34637488276259565,-0.01649740208848303,48.843537414965986,0.005714285714285711,1
price_ma20_ratio,-0.003768295196866625,0.3588568492459915,-0.010500831194344879,46.25850340136054,0.003768295196866625,1
volume_ratio_20,-0.0030096887239744394,0.3621333635659504,-0.008310995414335321,50.476190476190474,0.0030096887239744394,1
price_ma50_ratio,0.0019542362399505176,0.33942538658996374,0.005757484021993013,49.93197278911565,0.0019542362399505176,1
return_1d,0.0010636982065553476,0.3528962160743019,0.0030141955569492054,50.204081632653065,0.0010636982065553476,1
relative_strength_1d,0.0010636982065553476,0.3528962160743019,0.0030141955569492054,50.204081632653065,0.0010636982065553476,1
return_20d,-0.0003710575139146577,0.35482317083154796,-0.001045753334104601,49.523809523809526,0.0003710575139146577,1
momentum_20,-0.0003710575139146577,0.35482317083154796,-0.001045753334104601,49.523809523809526,0.0003710575139146577,1
relative_strength_20d,-0.0003710575139146577,0.35482317083154796,-0.001045753334104601,49.523809523809526,0.0003710575139146577,1
