holding_period,K,cost_bps,mean_test_sharpe,median_test_sharpe,positive_fold_pct,mean_test_cagr,median_test_cagr,mean_test_max_dd,mean_test_hit_rate,mean_validation_sharpe
5,1,0,1.1419656811820331,1.2059484058021581,0.7586206896551724,0.49357754937839654,0.2609537676781557,-0.10619214823070271,0.5254199823165341,2.0452820203917077
5,1,5,0.9372027521990707,0.88808886874243,0.6896551724137931,0.41954085371846506,0.19967686471740898,-0.108766815967728,0.5214854111405836,1.8598737091186277
5,1,10,0.7319644286305469,0.6765362762443176,0.6896551724137931,0.34914149495537583,0.14134929956738196,-0.11148545381460094,0.5146772767462423,1.6737222412056922
5,1,20,0.32084450394215885,0.2546042114522116,0.6206896551724138,0.21855496475611016,0.03298648007738514,-0.11750243146574245,0.5032714412024757,1.2997163588207505
5,2,0,1.4407971124909071,1.481183982920879,0.7241379310344828,0.42580655129525025,0.24933956641216404,-0.07103802380481704,0.5475685234305925,2.0932238544194885
5,2,5,1.154477145947124,1.2311889784435153,0.6896551724137931,0.3569731622449211,0.1860632864951044,-0.07306251684844646,0.5429708222811672,1.8242452182419366
5,2,10,0.8678639665179178,0.9503531153787422,0.6551724137931034,0.28960726018789273,0.12596264330567553,-0.07631960075413516,0.5328912466843502,1.5554365096762228
5,2,20,0.29170426272139377,0.16701057969336663,0.5517241379310345,0.1646567989520898,0.014664406413048559,-0.0843275544711231,0.5164898320070734,1.0155049577866497
5,3,0,1.6463452237527585,1.6690763917613063,0.7931034482758621,0.3377754240163105,0.2261567327495162,-0.05532721287999578,0.5500884173297966,2.0055259994168795
5,3,5,1.2880267457295913,1.2822760299038323,0.7931034482758621,0.27125776301369997,0.16728410885050615,-0.0585046478870818,0.542263483642794,1.6627325289036714
5,3,10,0.8881917132627161,0.8751225980000293,0.7241379310344828,0.19782691656854545,0.11121086048255568,-0.06562473071790383,0.5298850574712645,1.3187364561669783
5,3,20,0.20533701615361208,0.35497185707254425,0.5862068965517241,0.08906947254965542,0.03381878804453797,-0.0739168058730825,0.5129531388152079,0.6299866647985556
10,1,0,0.7527973460739248,1.185949349297402,0.7241379310344828,0.39715895879627483,0.3205904075728301,-0.12103373496173765,0.5137931034482759,1.5126919852196787
10,1,5,0.6550970560449986,1.0979607700404024,0.7241379310344828,0.3618942283598168,0.28656865748601046,-0.12283146546228997,0.5114942528735632,1.4221833140868716
10,1,10,0.5572195044654317,1.009983446893413,0.7241379310344828,0.327502878628121,0.2534070200885843,-0.12462434914623144,0.5080459770114942,1.3314885202168427
10,1,20,0.3611435673427861,0.8341916804809323,0.6206896551724138,0.26125596147649566,0.18957928055351236,-0.12846847431289823,0.5022988505747127,1.149707751119728
10,2,0,0.7839488445181492,1.1132416630052437,0.6896551724137931,0.2190126872063088,0.22575901497861528,-0.08555373131401568,0.5241379310344828,1.5385511602135935
10,2,5,0.6445003006320252,0.9932391840535146,0.6206896551724138,0.1882931338826605,0.1943514058557596,-0.08725043116002314,0.518390804597701,1.4045837549798228
10,2,10,0.5043750950090244,0.8729602491073845,0.6206896551724138,0.1583332008374414,0.16373351698128835,-0.08906049399643778,0.5120689655172413,1.2702214974347386
10,2,20,0.22270297224235083,0.631910313468151,0.6206896551724138,0.10061893709359725,0.10478945724269573,-0.0928298822295538,0.5011494252873563,1.0008491371349668
10,3,0,0.6377292612321839,0.7808261977567459,0.6551724137931034,0.13877331179834657,0.10816202892672644,-0.07187085756478427,0.5270114942528736,1.4293280938787558
10,3,5,0.4600650378024543,0.6053995527733252,0.6206896551724138,0.11009135566148831,0.079827409446801,-0.07395933846517064,0.52183908045977,1.2593049447704379
10,3,10,0.2820527113703155,0.42646393477658856,0.5517241379310345,0.08211823181424663,0.052203741382178315,-0.0760828429440194,0.5195402298850574,1.0886285167398284
10,3,20,-0.05931462303292115,0.05869205087097326,0.5172413793103449,0.02948933898839593,-0.0009803128785972337,-0.08027916331847744,0.5080459770114942,0.7464973998829741
20,1,0,0.5436693194610813,1.144561397609881,0.5862068965517241,0.4032122076192126,0.2668054112147469,-0.11955317273394024,0.5109195402298851,1.654796160720772
20,1,5,0.49179784673218874,1.0978042597277604,0.5862068965517241,0.38549754743209486,0.25034329734969196,-0.12028729075571959,0.5103448275862069,1.6066653617653002
20,1,10,0.43980036948717305,1.0510959928653871,0.5862068965517241,0.36799794384663365,0.23408691280984706,-0.12105582485530393,0.5080459770114942,1.5583479026052744
