Date,SPY_Close,SPY_MA20,SPY_MA50,VIX_Close,VIX_MA20,VIX_Change,SPY_Close_lag1,SPY_MA20_lag1,SPY_MA50_lag1,VIX_Close_lag1,VIX_MA20_lag1,VIX_Change_lag1,SPY_Below_MA20,SPY_Below_MA50,VIX_High,VIX_Extreme,VIX_Rising,VIX_Above_MA20
2023-01-31,388.6696472167969,,,19.399999618530273,,,,,,,,,False,False,False,False,False,False
2023-02-01,392.8003845214844,,,17.8700008392334,,-0.07886591800937293,388.6696472167969,,,19.399999618530273,,,False,False,False,False,False,False
2023-02-02,398.5183410644531,,,18.729999542236328,,0.04812527490848306,392.8003845214844,,,17.8700008392334,,-0.07886591800937293,False,False,False,False,False,False
2023-02-03,394.2824401855469,,,18.329999923706055,,-0.021356093342568938,398.5183410644531,,,18.729999542236328,,0.04812527490848306,False,False,False,False,True,False
2023-02-06,391.87286376953125,,,19.43000030517578,,0.06001093213574449,394.2824401855469,,,18.329999923706055,,-0.021356093342568938,False,False,False,False,False,False
2023-02-07,396.9980163574219,,,18.65999984741211,,-0.039629461949033495,391.87286376953125,,,19.43000030517578,,0.06001093213574449,False,False,False,False,True,False
2023-02-08,392.65692138671875,,,19.6299991607666,,0.05198281464557564,396.9980163574219,,,18.65999984741211,,-0.039629461949033495,False,False,False,False,False,False
2023-02-09,389.2528991699219,,,20.709999084472656,,0.055017828317822426,392.65692138671875,,,19.6299991607666,,0.05198281464557564,False,False,False,False,True,False
2023-02-10,390.16131591796875,,,20.530000686645508,,-0.008691376426090858,389.2528991699219,,,20.709999084472656,,0.055017828317822426,False,False,False,False,True,False
2023-02-13,394.7414245605469,,,20.34000015258789,,-0.009254774851576553,390.16131591796875,,,20.530000686645508,,-0.008691376426090858,False,False,False,False,False,False
2023-02-14,394.5597229003906,,,18.90999984741211,,-0.07030483256873721,394.7414245605469,,,20.34000015258789,,-0.009254774851576553,False,False,False,False,False,False
2023-02-15,395.8410339355469,,,18.229999542236328,,-0.03595982605303094,394.5597229003906,,,18.90999984741211,,-0.07030483256873721,False,False,False,False,False,False
