epoch,train_loss,val_loss,learning_rate
1,0.38504784091098887,0.3803834731087965,0.0003
2,0.3792476488931759,0.3815067410469055,0.0003
3,0.37815974451400136,0.38193579105769887,0.0003
4,0.37689025095991185,0.38349044936544757,0.0003
5,0.3740737035467818,0.3905274254434249,0.0003
6,0.368780469974956,0.3964283913373947,0.0003
7,0.36383689778882106,0.4012375991134083,0.00015
8,0.3593270883366868,0.42735226890620065,0.00015
9,0.355749422231236,0.4139024010475944,0.00015
10,0.35308605956064687,0.42353978227166567,0.00015
11,0.34985447050751867,0.4320040134822621,0.00015
12,0.3463350437782906,0.4295770815190147,7.5e-05
13,0.34519808155459325,0.4334984623333987,7.5e-05
