epoch,train_loss,validation_loss,learning_rate
1,0.38309590917522623,0.38297982950812404,0.0003
2,0.38066409210027274,0.3828416646684258,0.0003
3,0.38045341443207303,0.3826051868860004,0.0003
4,0.3803479206258968,0.3828417014728472,0.0003
5,0.3798210947190301,0.38368104921961294,0.0003
6,0.3796273222919238,0.3830315383313929,0.0003
7,0.37949554430226146,0.38290393942768136,0.0003
8,0.37866100325422775,0.3836050346059707,0.00015
9,0.3781178463313539,0.38363234232930304,0.00015
10,0.37769657802783835,0.3842519633978316,0.00015
11,0.37792157005455534,0.3844440183014546,0.00015
12,0.3780019831859459,0.3846809739048041,0.00015
13,0.3770137468637046,0.3852706096126038,7.5e-05
14,0.37622339548700945,0.38560524727534323,7.5e-05
15,0.3751290627455307,0.3860345368825116,7.5e-05
