fold,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_strategy,selected_factors,validation_sharpe,validation_cagr,test_sharpe,test_cagr,test_total_return,test_max_drawdown,test_hit_rate,test_days,test_total_cost
17,2019-10-16,2022-10-16,2022-10-16,2023-04-16,2023-04-16,2023-07-16,all_equal,price_ma200_ratio|return_60d|price_ma50_ratio|rsi_14|momentum_20|relative_strength_20d|return_20d|price_ma20_ratio|macd_hist|return_10d|momentum_10|beta_60|return_5d|momentum_5|macd|volatility_10|volume_ratio_20|macd_signal|volatility_20|return_1d|relative_strength_1d|volatility_60|volume_change,1.6606814234755674,0.33355616871631066,0.8160893289147942,0.12842474944468485,0.028856831290554386,-0.09516124316845309,0.48333333333333334,60,0.006
18,2020-01-16,2023-01-16,2023-01-16,2023-07-16,2023-07-16,2023-10-16,top3_equal,price_ma200_ratio|return_60d|rsi_14,1.1596115311090995,0.23769821874380948,-3.490964597335235,-0.4074987655943888,-0.11340924722839996,-0.13690125081300464,0.4166666666666667,60,0.006
19,2020-04-16,2023-04-16,2023-04-16,2023-10-16,2023-10-16,2024-01-16,top3_equal,price_ma200_ratio|return_60d|macd_hist,2.0766950792831738,0.46395922143806234,1.6546481193924307,0.2839678363356122,0.060619565389861796,-0.04712962652213415,0.5833333333333334,60,0.006
20,2020-07-16,2023-07-16,2023-07-16,2024-01-16,2024-01-16,2024-04-16,best_single,macd_hist,0.718251049258526,0.0907945837221753,2.8904061961664693,0.7153102821378483,0.13379777992511843,-0.03761717913846585,0.5166666666666667,60,0.006
21,2020-10-16,2023-10-16,2023-10-16,2024-04-16,2024-04-16,2024-07-16,all_equal,macd_hist|macd_signal|beta_60|macd|price_ma20_ratio|rsi_14|return_5d|momentum_5|volatility_60|volume_ratio_20|momentum_10|return_10d|volatility_10|volatility_20|return_1d|relative_strength_1d|price_ma50_ratio|return_60d|volume_change|return_20d|momentum_20|relative_strength_20d|price_ma200_ratio,4.589021046118013,1.113713668415242,0.5075386907829053,0.09948734144920945,0.022582728927770024,-0.07973191129241475,0.6166666666666667,60,0.006
22,2021-01-16,2024-01-16,2024-01-16,2024-07-16,2024-07-16,2024-10-16,all_equal,macd_signal|macd_hist|beta_60|macd|price_ma50_ratio|volatility_60|return_60d|volume_ratio_20|return_20d|relative_strength_20d|momentum_20|volatility_10|momentum_5|return_5d|volatility_20|rsi_14|price_ma200_ratio|price_ma20_ratio|return_1d|relative_strength_1d|volume_change|return_10d|momentum_10,2.2884567945856102,0.3911080622755936,1.469269520187983,0.4035917588520508,0.08109127603646704,-0.09081557200672397,0.5833333333333334,60,0.006
23,2021-04-16,2024-04-16,2024-04-16,2024-10-16,2024-10-16,2025-01-16,top5_equal,macd_hist|price_ma200_ratio|beta_60|macd_signal|volatility_60,0.587844873093712,0.12607746484457993,2.5246461520327776,0.7720031972547798,0.1495901314352417,-0.0533870088942654,0.5166666666666667,60,0.006
24,2021-07-16,2024-07-16,2024-07-16,2025-01-16,2025-01-16,2025-04-16,all_equal,macd_hist|price_ma200_ratio|beta_60|volatility_60|price_ma20_ratio|macd_signal|rsi_14|momentum_10|return_10d|return_5d|momentum_5|macd|relative_strength_20d|momentum_20|return_20d|volatility_20|volatility_10|return_1d|relative_strength_1d|volume_ratio_20|price_ma50_ratio|return_60d|volume_change,1.3697521232390077,0.302443396514015,0.46849355594473585,0.07146908366034599,0.016194365151671608,-0.10475011866605177,0.5333333333333333,60,0.006
25,2021-10-16,2024-10-16,2024-10-16,2025-04-16,2025-04-16,2025-07-16,top5_icir_weighted,macd_hist|macd_signal|price_ma200_ratio|volatility_60|beta_60,1.672779740706621,0.45496401966070055,2.962305254784485,0.5335297729645818,0.10980680549372845,-0.04957138003053918,0.6333333333333333,60,0.006
26,2022-01-16,2025-01-16,2025-01-16,2025-07-16,2025-07-16,2025-10-16,top7_equal,volatility_60|beta_60|macd_signal|price_ma200_ratio|volatility_10|volatility_20|macd,0.01195437411529764,-0.024974461132045822,0.4664353854238223,0.06978394947899247,0.015634620055232418,-0.048392234732257955,0.5833333333333334,60,0.006
27,2022-04-16,2025-04-16,2025-04-16,2025-10-16,2025-10-16,2026-01-16,top5_ic_weighted,macd_signal|macd|volatility_60|beta_60|return_60d,1.8755563604181826,0.36582762795754586,-1.3170414340868382,-0.16001616609040592,-0.04114148604964052,-0.08702105876325683,0.43333333333333335,60,0.006
28,2022-07-16,2025-07-16,2025-07-16,2026-01-16,2026-01-16,2026-04-16,top3_equal,volatility_60|beta_60|macd_signal,1.6432353641834112,0.2650739729408169,-1.449319890407234,-0.21948788134706476,-0.05795654701751818,-0.1140492413867451,0.43333333333333335,60,0.006
29,2022-10-16,2025-10-16,2025-10-16,2026-04-16,2026-04-16,2026-07-16,best_single,volatility_60,-0.4588025064385012,-0.08341616648208916,-2.263666823904945,-0.3925198429910939,-0.1131581079411994,-0.1294800645328582,0.4666666666666667,60,0.006
