Date,Ticker,prediction,position,portfolio_side,actual_return
2025-01-27,AVGO,-0.0249085426330566,0.0,FLAT,0.02587443
2025-01-27,AMZN,-0.0446912944316864,0.0,FLAT,0.011596278
2025-01-27,MSFT,-0.0599633455276489,0.0,FLAT,0.029086925
2025-01-27,JPM,-0.0798316746950149,0.0,FLAT,0.0048523997
2025-01-27,META,-0.0866396278142929,0.0,FLAT,0.021897981
2025-01-27,TSLA,-0.1110854968428611,-0.5,SHORT,0.0023668702
2025-01-27,XOM,-0.1223225817084312,-0.5,SHORT,-0.019333713
2025-01-28,AAPL,0.0088089257478713,0.5,LONG,0.004616856
2025-01-28,NVDA,-0.0082652270793914,0.5,LONG,-0.041011047
2025-01-28,GOOGL,-0.0100432336330413,0.0,FLAT,0.00056324434
2025-01-28,AVGO,-0.0338140726089477,0.0,FLAT,-0.0048707686
2025-01-28,AMZN,-0.0463661849498748,0.0,FLAT,-0.0045349007
2025-01-28,MSFT,-0.0663171932101249,0.0,FLAT,-0.010890124
2025-01-28,JPM,-0.0794248431921005,0.0,FLAT,-0.002096327
2025-01-28,META,-0.0905714333057403,0.0,FLAT,0.0032031448
2025-01-28,TSLA,-0.1141982972621917,-0.5,SHORT,-0.022582809
2025-01-28,XOM,-0.1235992014408111,-0.5,SHORT,0.0058311303
2025-01-29,AAPL,-0.0009819567203521,0.5,LONG,-0.0073946565
2025-01-29,NVDA,-0.0051691681146621,0.5,LONG,0.007679887
2025-01-29,GOOGL,-0.0095991045236587,0.0,FLAT,0.027941205
2025-01-29,AVGO,-0.0358328372240066,0.0,FLAT,0.04511753
2025-01-29,AMZN,-0.0484553426504135,0.0,FLAT,-0.01025017
2025-01-29,MSFT,-0.0701684206724166,0.0,FLAT,-0.061809033
2025-01-29,JPM,-0.0801006630063057,0.0,FLAT,0.00618943
2025-01-29,META,-0.092150330543518,0.0,FLAT,0.015536085
2025-01-29,TSLA,-0.1109231561422348,-0.5,SHORT,0.028732954
2025-01-29,XOM,-0.1230950951576232,-0.5,SHORT,0.008282042
2025-01-30,NVDA,-0.0069814175367355,0.5,LONG,-0.036742847
2025-01-30,AAPL,-0.0081360638141632,0.5,LONG,-0.0066922335
2025-01-30,GOOGL,-0.0107747912406921,0.0,FLAT,0.015681952
2025-01-30,AVGO,-0.0417254865169525,0.0,FLAT,0.026013156
2025-01-30,AMZN,-0.0505675375461578,0.0,FLAT,0.012955989
2025-01-30,MSFT,-0.0643439516425132,0.0,FLAT,0.00016863337
2025-01-30,JPM,-0.0800758153200149,0.0,FLAT,-0.0034670983
2025-01-30,META,-0.0949482917785644,0.0,FLAT,0.003173177
2025-01-30,TSLA,-0.1051192656159401,-0.5,SHORT,0.010792464
2025-01-30,XOM,-0.1223892644047737,-0.5,SHORT,-0.025006896
2025-01-31,NVDA,-0.0055601596832275,0.5,LONG,-0.028400026
2025-01-31,AAPL,-0.0112650841474533,0.5,LONG,-0.03385593
2025-01-31,GOOGL,-0.011450707912445,0.0,FLAT,-0.01367524
2025-01-31,AVGO,-0.0449719876050949,0.0,FLAT,-0.015998695
2025-01-31,AMZN,-0.0504137277603149,0.0,FLAT,-0.0010938847
2025-01-31,MSFT,-0.0616846233606338,0.0,FLAT,-0.009974376
2025-01-31,JPM,-0.0803931206464767,0.0,FLAT,-0.0018331
2025-01-31,META,-0.0999988690018653,0.0,FLAT,0.012014342
2025-01-31,TSLA,-0.1023028716444969,-0.5,SHORT,-0.05170542
2025-01-31,XOM,-0.1262522488832473,-0.5,SHORT,0.0024337887
2025-02-03,NVDA,0.0062152445316314,0.5,LONG,0.017058104
2025-02-03,GOOGL,-0.0111451148986816,0.5,LONG,0.025592683
2025-02-03,AAPL,-0.0118941068649292,0.0,FLAT,0.021007868
2025-02-03,AVGO,-0.0357550829648971,0.0,FLAT,0.021586485
2025-02-03,AMZN,-0.0485876947641372,0.0,FLAT,0.019543422
2025-02-03,MSFT,-0.0570057779550552,0.0,FLAT,0.0035286427
2025-02-03,JPM,-0.0803088173270225,0.0,FLAT,0.0042351983
2025-02-03,TSLA,-0.0977303832769393,0.0,FLAT,0.022232065
2025-02-03,META,-0.1069602966308593,-0.5,SHORT,0.009649212
2025-02-03,XOM,-0.1279869377613067,-0.5,SHORT,0.026799873
2025-02-04,NVDA,0.006558284163475,0.5,LONG,0.05208597
2025-02-04,GOOGL,-0.0153481066226959,0.5,LONG,-0.07292384
2025-02-04,AAPL,-0.0176465660333633,0.0,FLAT,-0.0014175215
2025-02-04,AVGO,-0.0364589691162109,0.0,FLAT,0.04302466
2025-02-04,AMZN,-0.0465470254421234,0.0,FLAT,-0.024332808
2025-02-04,MSFT,-0.0555168390274047,0.0,FLAT,0.0022310703
2025-02-04,JPM,-0.0787051618099212,0.0,FLAT,0.009292998
2025-02-04,TSLA,-0.0999461859464645,0.0,FLAT,-0.035797093
2025-02-04,META,-0.1146474033594131,-0.5,SHORT,0.0009657946
2025-02-04,XOM,-0.123938038945198,-0.5,SHORT,-0.0007276379
2025-02-05,NVDA,0.0022964924573898,0.5,LONG,0.030841853
2025-02-05,GOOGL,-0.0181488096714019,0.5,LONG,0.0014112972
2025-02-05,AAPL,-0.0236558020114898,0.0,FLAT,0.003226165
2025-02-05,AVGO,-0.0402528643608093,0.0,FLAT,-0.0027585635
2025-02-05,AMZN,-0.0475980788469314,0.0,FLAT,0.011263089
2025-02-05,MSFT,-0.0536453276872634,0.0,FLAT,0.0061216727
2025-02-05,JPM,-0.075593389570713,0.0,FLAT,0.023924816
2025-02-05,TSLA,-0.0948768705129623,0.0,FLAT,-0.010180622
2025-02-05,META,-0.1218236535787582,-0.5,SHORT,0.0101009505
2025-02-05,XOM,-0.1221950501203537,-0.5,SHORT,-0.013196085
2025-02-06,NVDA,-0.0017842650413513,0.5,LONG,0.009014427
2025-02-06,GOOGL,-0.0181360095739364,0.5,LONG,-0.03267227
2025-02-06,AAPL,-0.0277315974235534,0.0,FLAT,-0.023968797
2025-02-06,AVGO,-0.0391601473093032,0.0,FLAT,-0.02805155
2025-02-06,AMZN,-0.0467934906482696,0.0,FLAT,-0.040530954
2025-02-06,MSFT,-0.0509762614965438,0.0,FLAT,-0.014597845
2025-02-06,JPM,-0.0729140490293502,0.0,FLAT,-0.0039724256
2025-02-06,TSLA,-0.0917862206697464,-0.5,SHORT,-0.033928223
2025-02-06,XOM,-0.1248283013701438,-0.5,SHORT,0.004242304
2025-02-07,NVDA,-0.0038599371910095,0.5,LONG,0.028728034
2025-02-07,GOOGL,-0.0107907205820083,0.5,LONG,0.0060969396
2025-02-07,AAPL,-0.0274526476860046,0.0,FLAT,0.0011874025
2025-02-07,AVGO,-0.0326431095600128,0.0,FLAT,0.04522613
