horizon,feature,mean_ic,median_fold_ic,fold_ic_std,mean_icir,positive_fold_pct,mean_positive_daily_pct,folds,abs_mean_ic
1,return_60d,0.015223148981799864,0.011447811447811455,0.05613085775700357,0.036974151272000245,65.51724137931035,51.41073741508081,29,0.015223148981799864
1,price_ma200_ratio,0.012380265832433691,0.0038228438228438176,0.061438819077326394,0.02550998832802212,51.724137931034484,50.176691090810145,29,0.012380265832433691
1,price_ma50_ratio,0.0075201144442105985,0.0025415444770283445,0.05025609559177008,0.013804001375139045,51.724137931034484,51.64891473522192,29,0.0075201144442105985
1,rsi_14,0.006852047450007489,-0.002150537634408607,0.038329419205043645,0.015945864339291814,48.275862068965516,51.268537802499715,29,0.006852047450007489
1,momentum_20,0.006678088914402009,0.0004662004662004641,0.044993156206615856,0.014375349158191875,51.724137931034484,50.09999031380371,29,0.006678088914402009
1,beta_60,0.006014625458799319,0.0027898027898027797,0.05266824252196944,0.01903005432309188,55.172413793103445,51.14203352672439,29,0.006014625458799319
1,volatility_60,0.0019172354358950592,-0.008712121212121185,0.052691704977574666,0.007363260396549425,41.37931034482759,52.100257027225055,29,0.0019172354358950592
1,volatility_10,-0.002241151861478736,-0.01125541125541126,0.047316339729985835,-0.0022440177484145786,44.827586206896555,50.54396576132362,29,0.002241151861478736
1,volume_ratio_20,-0.0033068508331785575,-0.005083088954056695,0.04096772043256257,-0.0065762868626491324,48.275862068965516,50.707427636546285,29,0.0033068508331785575
1,volatility_20,-0.0040553537527294545,-0.018951418951418945,0.05119086815871689,-0.007394507132642127,37.93103448275862,50.33269554393891,29,0.0040553537527294545
3,price_ma200_ratio,0.02444912227156615,0.030303030303030293,0.09918754218315241,0.044256759203777134,58.620689655172406,51.99931977452879,29,0.02444912227156615
3,return_60d,0.0244285849165588,0.030489510489510492,0.08504618430318728,0.05310368261414531,55.172413793103445,52.875424213260885,29,0.0244285849165588
3,momentum_20,0.015693446108365237,0.01893939393939394,0.08354164145938411,0.02732148510770167,68.96551724137932,50.14958101293784,29,0.015693446108365237
3,volatility_60,0.014943833857471963,0.00039100684261974834,0.08206389303068229,0.04022274270834362,55.172413793103445,52.0535402364199,29,0.014943833857471963
3,price_ma50_ratio,0.014287965250897653,-0.00469208211143694,0.08583532981867485,0.022898500221455873,48.275862068965516,50.38322550743,29,0.014287965250897653
3,rsi_14,0.013116932843336497,-0.001955034213098727,0.06861056616881454,0.028415041539242125,48.275862068965516,50.95903495566031,29,0.013116932843336497
