factor,mean_ic,median_fold_ic,fold_ic_std,mean_icir,positive_fold_pct
price_ma200_ratio,0.06943049017242556,0.06574912471326813,0.04077517270969377,0.17215365752076184,96.55172413793103
return_60d,0.05989848464033716,0.045635159542444306,0.07257562772541656,0.1496402016962802,72.41379310344827
beta_60,0.055830174928517204,0.059094928060445306,0.03992385466491284,0.13852397360389498,89.65517241379311
volatility_60,0.05140794742812173,0.05257595772787318,0.03306438483322935,0.13493947927218677,89.65517241379311
momentum_20,0.03671813456668694,0.02985230793995734,0.037885630355513976,0.09877696558495622,82.75862068965517
volatility_20,0.028226434404762284,0.03588263588263587,0.03620522872288414,0.07769575345300112,72.41379310344827
volatility_10,0.02652038853653141,0.03084961015995498,0.032772555451761616,0.07505720311002984,75.86206896551724
