feature,period,mean_ic,median_ic,ic_std,positive_ic_pct,days
Open,train,-0.02242153180651273,-0.0303030303030303,0.36996153805418275,47.052686489306204,1917
Open,validation,-0.017122683142100612,-0.01818181818181818,0.31641535295177026,47.0873786407767,412
Open,test,-0.027116457823397364,-0.006060606060606061,0.332858927660279,49.39172749391727,411
High,train,-0.022203320557782853,-0.0303030303030303,0.3700266237931758,46.948356807511736,1917
High,validation,-0.01644601353339217,-0.01818181818181818,0.3152244148983448,46.84466019417476,412
High,test,-0.026620216766202163,-0.006060606060606061,0.33494571377642185,48.9051094890511,411
Low,train,-0.022453146861601964,-0.01818181818181818,0.369731549307659,47.00052164840897,1917
Low,validation,-0.016416593115622238,-0.01818181818181818,0.31530872622805894,47.57281553398058,412
Low,test,-0.028293887782938877,-0.01818181818181818,0.3324299415124868,47.688564476885645,411
Close,train,-0.023101188122317082,-0.0303030303030303,0.36992747514386665,46.79186228482003,1917
Close,validation,-0.018862294093867738,-0.01818181818181818,0.3155178691321493,46.84466019417476,412
Close,test,-0.02725060827250608,-0.01818181818181818,0.3341756132003681,48.175182481751825,411
Volume,train,0.02403132517990676,0.04242424242424241,0.40294515393491304,53.990610328638496,1917
Volume,validation,-0.004001176816710802,-0.006060606060606061,0.3888177580798357,49.51456310679612,412
Volume,test,-0.006834771068347711,-0.006060606060606061,0.355890908758077,49.87834549878345,411
return_1d,train,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,48.56546687532603,1917
return_1d,validation,-0.0006178287731685798,0.036363636363636355,0.3800178180710616,53.883495145631066,412
return_1d,test,0.011571923615719236,0.006060606060606061,0.3732287484453554,51.338199513382,411
return_5d,train,0.010259980416615938,0.01818181818181818,0.39201851512713115,51.59102764736567,1917
return_5d,validation,-0.018534863195057365,0.0,0.3777220545196903,50.0,412
return_5d,test,-0.019357811693578118,-0.01818181818181818,0.3736727308851909,47.201946472019465,411
return_10d,train,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,49.45226917057903,1917
return_10d,validation,-0.0019123271550456086,-0.01818181818181818,0.3921658795399392,49.51456310679612,412
return_10d,test,-0.03553417385534173,-0.05454545454545454,0.3755373301374705,44.038929440389296,411
return_20d,train,0.011337736200263437,0.01818181818181818,0.384135446406896,51.43453312467396,1917
return_20d,validation,0.0014416004707266839,-0.006060606060606061,0.3798725679377603,49.029126213592235,412
return_20d,test,-0.014189338641893387,-0.0303030303030303,0.357023867694113,46.715328467153284,411
return_60d,train,0.01749534802652132,0.01818181818181818,0.3940654380380763,52.0605112154408,1917
return_60d,validation,0.010561929979405707,0.01818181818181818,0.40941562675357357,51.213592233009706,412
return_60d,test,-0.015689744156897438,-0.0303030303030303,0.37010266152536603,45.742092457420924,411
log_return_1d,train,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,48.56546687532603,1917
log_return_1d,validation,-0.0006178287731685798,0.036363636363636355,0.3800178180710616,53.883495145631066,412
log_return_1d,test,0.011571923615719236,0.006060606060606061,0.3732287484453554,51.338199513382,411
price_ma20_ratio,train,0.00688014816990985,0.006060606060606061,0.38378468960992085,50.18257694314032,1917
price_ma20_ratio,validation,0.0016475433951162084,0.0303030303030303,0.37416467022540695,52.9126213592233,412
price_ma20_ratio,test,-0.02938509179385091,-0.04242424242424241,0.3703242027621654,46.47201946472019,411
price_ma50_ratio,train,0.014141250531922589,0.01818181818181818,0.39412869990267707,51.43453312467396,1917
price_ma50_ratio,validation,-0.0035010297146219477,0.01818181818181818,0.39352350900678984,51.45631067961165,412
price_ma50_ratio,test,-0.018742166187421663,-0.04242424242424241,0.373287108225942,47.688564476885645,411
price_ma200_ratio,train,0.018889081127481864,0.0303030303030303,0.4094034420716936,51.27803860198227,1917
price_ma200_ratio,validation,0.005207413945278021,0.030303030303030297,0.45786873662262906,50.728155339805824,412
price_ma200_ratio,test,-0.03269925532699255,-0.06666666666666665,0.37795596760843925,42.33576642335766,411
momentum_5,train,0.010259980416615938,0.01818181818181818,0.39201851512713115,51.59102764736567,1917
momentum_5,validation,-0.018534863195057365,0.0,0.3777220545196903,50.0,412
momentum_5,test,-0.019357811693578118,-0.01818181818181818,0.3736727308851909,47.201946472019465,411
momentum_10,train,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,49.45226917057903,1917
momentum_10,validation,-0.0019123271550456086,-0.01818181818181818,0.3921658795399392,49.51456310679612,412
momentum_10,test,-0.03553417385534173,-0.05454545454545454,0.3755373301374705,44.038929440389296,411
momentum_20,train,0.011337736200263437,0.01818181818181818,0.384135446406896,51.43453312467396,1917
momentum_20,validation,0.0014416004707266839,-0.006060606060606061,0.3798725679377603,49.029126213592235,412
momentum_20,test,-0.014189338641893387,-0.0303030303030303,0.357023867694113,46.715328467153284,411
volatility_10,train,0.0081580508334811,0.006060606060606061,0.3956629373381479,51.382368283776735,1917
volatility_10,validation,0.008649602824360106,0.01818181818181818,0.4126245257387885,51.45631067961165,412
volatility_10,test,-0.014462139644621397,-0.006060606060606061,0.4006337780507047,49.148418491484186,411
volatility_20,train,0.001079199396808261,0.006060606060606061,0.39845116931562646,50.23474178403756,1917
volatility_20,validation,0.008649602824360102,0.04242424242424241,0.4089539193557848,53.15533980582524,412
volatility_20,test,-0.005784118557841181,-0.006060606060606061,0.4040132673081047,49.148418491484186,411
volatility_60,train,0.009479329158105338,0.01818181818181818,0.41136758040589866,51.74752217005738,1917
volatility_60,validation,0.016769638128861432,0.01818181818181818,0.4355388864156014,53.15533980582524,412
volatility_60,test,-0.00687163606871636,0.0303030303030303,0.43278201997909954,52.55474452554745,411
rsi_14,train,0.0036644254870356187,-0.006060606060606061,0.36549544802723166,49.76525821596244,1917
rsi_14,validation,0.010061782877316862,0.0303030303030303,0.3485945513558009,53.883495145631066,412
rsi_14,test,-0.032861461328614616,-0.0303030303030303,0.3465100068442217,46.228710462287104,411
macd,train,0.007394020330615854,0.01818181818181818,0.3684259921090779,51.382368283776735,1917
macd,validation,-0.010797293321565163,-0.012121212121212121,0.369621218236867,48.30097087378641,412
macd,test,-0.04115977291159773,-0.05454545454545454,0.36890137659914374,46.715328467153284,411
macd_signal,train,0.011096152905652834,0.01818181818181818,0.36818493071730435,52.52999478351591,1917
macd_signal,validation,-0.013474551338629006,-0.006060606060606061,0.36712030769498405,49.51456310679612,412
macd_signal,test,-0.026804541768045417,-0.04242424242424241,0.36429453368348663,47.688564476885645,411
macd_hist,train,-0.01066955176779069,-0.01818181818181818,0.36273760564041096,48.72196139801774,1917
macd_hist,validation,-0.0025595763459841155,-0.006060606060606061,0.34940145517712135,49.271844660194176,412
macd_hist,test,-0.03989898989898988,-0.04242424242424241,0.3513188958642328,45.742092457420924,411
volume_change,train,0.02315477010647722,0.0303030303030303,0.3598984172906848,52.52999478351591,1917
volume_change,validation,-0.007296263606943218,-0.006060606060606061,0.3464614810625837,49.51456310679612,412
volume_change,test,0.0019132935191329369,0.006060606060606061,0.36516374856021455,51.09489051094891,411
volume_ratio_20,train,0.011425007223107296,0.01818181818181818,0.35152478901885126,52.26917057902973,1917
volume_ratio_20,validation,-0.005707561047366875,0.006060606060606061,0.34232503209306625,51.94174757281553,412
volume_ratio_20,test,0.008394160583941606,0.006060606060606061,0.3406540072823194,50.85158150851582,411
relative_strength_1d,train,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,48.56546687532603,1917
relative_strength_1d,validation,-0.0006178287731685798,0.036363636363636355,0.3800178180710616,53.883495145631066,412
relative_strength_1d,test,0.011571923615719236,0.006060606060606061,0.3732287484453554,51.338199513382,411
relative_strength_20d,train,0.011337736200263437,0.01818181818181818,0.384135446406896,51.43453312467396,1917
relative_strength_20d,validation,0.0014416004707266839,-0.006060606060606061,0.3798725679377603,49.029126213592235,412
relative_strength_20d,test,-0.014189338641893387,-0.0303030303030303,0.357023867694113,46.715328467153284,411
beta_60,train,0.006033095671624115,0.01818181818181818,0.4165396880270161,50.96504955659885,1917
beta_60,validation,0.021829949985289792,0.04242424242424241,0.4819721062562792,52.42718446601942,412
beta_60,test,-0.021322716213227164,-0.01818181818181818,0.45087794768221284,48.661800486618006,411
sector_Consumer,train,-0.0028380746719347564,0.0,0.3764863729400599,46.009389671361504,1917
sector_Consumer,validation,-0.02112592912083711,0.0,0.3622119897729452,42.71844660194174,412
sector_Consumer,test,-0.02228215949985441,-0.08703882797784891,0.34362049239724857,40.38929440389295,411
sector_Energy,train,-0.027515082395003096,-0.058025885318565944,0.3662164309670702,47.052686489306204,1917
