epoch,train_loss,validation_loss,learning_rate
1,0.4741377583612802,0.46512356671420013,0.0003
2,0.4647991456238743,0.46071898820066337,0.0003
3,0.4627016458933141,0.4604334696504935,0.0003
4,0.45890454329124175,0.46132237451375263,0.0003
5,0.46080543781779526,0.4603325138806711,0.0003
6,0.4580714879731709,0.46098711757167843,0.0003
7,0.45617255544611507,0.46175313962472453,0.0003
8,0.45727296870446726,0.46284411902509687,0.0003
9,0.456788073323233,0.46264703604747387,0.0003
10,0.4560746220998239,0.46524700251492584,0.00015
11,0.45458006838118564,0.467367456791149,0.00015
12,0.45427772630541674,0.46731013352513606,0.00015
13,0.4546706058455304,0.4682651176792398,0.00015
14,0.4527203997687692,0.4720423801525219,0.00015
15,0.4484487532741051,0.4769969651388595,7.5e-05
16,0.4522701450874944,0.47556319283618975,7.5e-05
17,0.45204219561346964,0.4750328963160222,7.5e-05
