feature,mean_ic,median_ic,ic_std,icir,positive_ic_pct,abs_mean_ic
sector_Technology,0.02975130247114828,0.0,0.355422909463202,0.08370676644362038,48.774126238914974,0.02975130247114828
sector_Energy,-0.027515082395003096,-0.058025885318565944,0.3662164309670702,-0.0751333912635865,47.052686489306204,0.027515082395003096
Volume,0.02403132517990676,0.04242424242424241,0.40294515393491304,0.059639196414776816,53.990610328638496,0.02403132517990676
volume_change,0.02315477010647722,0.0303030303030303,0.3598984172906848,0.06433696008108712,52.52999478351591,0.02315477010647722
Close,-0.023101188122317082,-0.0303030303030303,0.36992747514386665,-0.06244788417873778,46.79186228482003,0.023101188122317082
Low,-0.022453146861601964,-0.01818181818181818,0.369731549307659,-0.06072824162191897,47.00052164840897,0.022453146861601964
Open,-0.02242153180651273,-0.0303030303030303,0.36996153805418275,-0.06060503457856471,47.052686489306204,0.02242153180651273
High,-0.022203320557782853,-0.0303030303030303,0.3700266237931758,-0.060004656773544135,46.948356807511736,0.022203320557782853
price_ma200_ratio,0.018889081127481864,0.0303030303030303,0.4094034420716936,0.046138061350676336,51.27803860198227,0.018889081127481864
return_60d,0.01749534802652132,0.01818181818181818,0.3940654380380763,0.04439706286759115,52.0605112154408,0.01749534802652132
sector_Financials,-0.017284491534095586,-0.058025885318565944,0.3402815376608525,-0.0507946791733452,47.835159102764734,0.017284491534095586
return_1d,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603,0.014196569656606364
relative_strength_1d,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603,0.014196569656606364
log_return_1d,-0.014196569656606364,-0.01818181818181818,0.3814070772432346,-0.03722156851209342,48.56546687532603,0.014196569656606364
price_ma50_ratio,0.014141250531922589,0.01818181818181818,0.39412869990267707,0.03587977870024313,51.43453312467396,0.014141250531922589
volume_ratio_20,0.011425007223107296,0.01818181818181818,0.35152478901885126,0.0325012846320053,52.26917057902973,0.011425007223107296
momentum_20,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396,0.011337736200263437
relative_strength_20d,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396,0.011337736200263437
return_20d,0.011337736200263437,0.01818181818181818,0.384135446406896,0.029514944029023358,51.43453312467396,0.011337736200263437
macd_signal,0.011096152905652834,0.01818181818181818,0.36818493071730435,0.030137444473990593,52.52999478351591,0.011096152905652834
macd_hist,-0.01066955176779069,-0.01818181818181818,0.36273760564041096,-0.029413966464694675,48.72196139801774,0.01066955176779069
return_5d,0.010259980416615938,0.01818181818181818,0.39201851512713115,0.026172183253356383,51.59102764736567,0.010259980416615938
momentum_5,0.010259980416615938,0.01818181818181818,0.39201851512713115,0.026172183253356383,51.59102764736567,0.010259980416615938
volatility_60,0.009479329158105338,0.01818181818181818,0.41136758040589866,0.023043452157197296,51.74752217005738,0.009479329158105338
volatility_10,0.0081580508334811,0.006060606060606061,0.3956629373381479,0.020618688443160737,51.382368283776735,0.0081580508334811
macd,0.007394020330615854,0.01818181818181818,0.3684259921090779,0.020069214683492653,51.382368283776735,0.007394020330615854
price_ma20_ratio,0.00688014816990985,0.006060606060606061,0.38378468960992085,0.017927104327436407,50.18257694314032,0.00688014816990985
beta_60,0.006033095671624115,0.01818181818181818,0.4165396880270161,0.014483843544898461,50.96504955659885,0.006033095671624115
rsi_14,0.0036644254870356187,-0.006060606060606061,0.36549544802723166,0.010025912789925078,49.76525821596244,0.0036644254870356187
sector_Consumer,-0.0028380746719347564,0.0,0.3764863729400599,-0.00753831977973504,46.009389671361504,0.0028380746719347564
volatility_20,0.001079199396808261,0.006060606060606061,0.39845116931562646,0.0027084859574182632,50.23474178403756,0.001079199396808261
momentum_10,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,-0.00250842735952137,49.45226917057903,0.0009611554192391295
return_10d,-0.0009611554192391295,-0.006060606060606061,0.38317052139892405,-0.00250842735952137,49.45226917057903,0.0009611554192391295
vix,,,,,,
vix_change,,,,,,
vix_ma10,,,,,,
vix_ma20,,,,,,
vix_ratio_ma20,,,,,,
