Date,gross_return,long_contribution,short_contribution,market_return,turnover,transaction_cost,net_return,equity_curve,high_water_mark,drawdown
2025-01-22,-0.0009047414500000001,-0.0013626957,0.00045795424999999987,0.0030253204200000002,2.0,0.002,-0.00290474145,0.99709525855,0.99709525855,0.0
2025-01-23,0.0174605205,0.0036646302499999998,0.01379589025,-0.00282942289,0.0,0.0,0.0174605205,1.0145050607523651,1.0145050607523651,0.0
2025-01-24,-0.0004394609999999995,-0.0050879255,0.0046484645,-0.035913981580000004,0.0,0.0,-0.0004394609999999995,1.0140592253438618,1.0145050607523651,-0.00043946100000002986
2025-01-27,0.0713846669,0.06290124550000001,0.0084834214,0.022033883090000005,1.0,0.001,0.0703846669,1.0854334461365616,1.0854334461365616,0.0
2025-01-28,-0.00982125615,-0.0181970955,0.008375839349999999,-0.007177160085999999,0.0,0.0,-0.00982125615,1.0747731262282771,1.0854334461365616,-0.009821256150000068
2025-01-29,-0.01836488275,0.00014261524999999988,-0.018507498,0.00600252735,0.0,0.0,-0.01836488275,1.0550350437822438,1.0854334461365616,-0.028005772682347607
2025-01-30,-0.01461032425,-0.02171754025,0.007107216,-0.00031237034300000065,0.0,0.0,-0.01461032425,1.0396206396974723,1.0854334461365616,-0.0422069235125867
2025-01-31,-0.00649216235,-0.031127978,0.02463581565,-0.014208854100000001,0.0,0.0,-0.00649216235,1.0328712537221454,1.0854334461365616,-0.04842507166284904
2025-02-03,0.0031008510000000034,0.0213253935,-0.0182245425,0.017123355299999997,2.0,0.002,0.0011008510000000034,1.0340082910746766,1.0854334461365616,-0.04737752945141416
2025-02-04,-0.01053801335,-0.010418935,-0.00011907834999999996,-0.0027598407500000004,0.0,0.0,-0.01053801335,1.023111897899321,1.0854334461365616,-0.05741627776356517
2025-02-05,0.017674142349999998,0.0161265751,0.0015475672499999996,0.00607545729,0.0,0.0,0.017674142349999998,1.0411945232227722,1.0854334461365616,-0.04075691887996569
2025-02-06,0.003014037999999998,-0.011828921500000002,0.0148429595,-0.018273925955555558,1.0,0.001,0.002014037999999998,1.0432915285579347,1.0854334461365616,-0.038824966863352794
2025-02-07,0.022918723800000006,0.0174124868,0.005506237000000001,0.008489738177777777,0.0,0.0,0.022918723800000006,1.0672024389438337,1.0854334461365616,-0.01679606175543824
2025-02-10,0.022571028799999997,-0.0059660532,0.028537082,-0.00401367788888889,0.0,0.0,0.022571028799999997,1.0912902959286652,1.0912902959286652,0.0
2025-02-11,-0.008011995000000003,-0.010863608,0.0028516129999999994,-0.002689092455555555,0.0,0.0,-0.008011995000000003,1.082546883534136,1.0912902959286652,-0.00801199500000016
