K,cost_bps,days,gross_total_return,net_total_return,CAGR,annualized_volatility,Sharpe,Sortino,max_drawdown,hit_rate,average_turnover,total_turnover,transaction_cost
1,0.0,411,1.2227778986458575,1.2227778986458575,0.6319069819764027,0.22080184515829998,2.3296258621653894,2.608537092576986,-0.12562448317824104,0.5547445255474452,0.22871046228710462,94.0,0.0
2,0.0,411,1.0929543185836894,1.0929543185836894,0.5727880882870653,0.15331316462364777,3.032605347083667,3.33920985344737,-0.0770737783531773,0.583941605839416,0.170316301703163,70.0,0.0
3,0.0,411,0.6236471031022808,0.6236471031022808,0.34604806737595717,0.12065100665604721,2.524603176226316,2.7137319035795504,-0.0389881606339163,0.5693430656934306,0.1273317112733171,52.33333333333333,0.0
4,0.0,411,0.45720937001511275,0.45720937001511275,0.25968406836365854,0.10789887007467212,2.1944622788491217,2.324663049645892,-0.055245890068104875,0.5450121654501217,0.1070559610705596,44.0,0.0
1,5.0,411,1.2227778986458575,1.120683844662942,0.5855320361927094,0.22108697418517723,2.196276702578315,2.454525875051373,-0.1295548066958654,0.5498783454987834,0.22871046228710462,94.0,0.047
2,5.0,411,1.0929543185836894,1.0210273755866455,0.5394235813275106,0.15343531191157467,2.8903285904418956,3.177106847062048,-0.0805372215547504,0.5790754257907542,0.170316301703163,70.0,0.035
3,5.0,411,0.6236471031022808,0.5817837482523696,0.32466114222108433,0.12057149284875025,2.393203502591551,2.570674613941955,-0.03995499614223741,0.5644768856447688,0.1273317112733171,52.33333333333333,0.02616666666666667
4,5.0,411,0.45720937001511275,0.42553254346434466,0.2428231636893361,0.10788206738893957,2.0697689117265865,2.1924452971752246,-0.05654582140016795,0.5401459854014599,0.1070559610705596,44.0,0.022000000000000002
1,10.0,411,1.2227778986458575,1.0232273468341027,0.540450817384053,0.22142760641270512,2.062753871560865,2.306625395262097,-0.1334694188024761,0.5425790754257908,0.22871046228710462,94.0,0.094
2,10.0,411,1.0929543185836894,0.9515520723292037,0.5067572848800765,0.1535869565324757,2.7477503579385045,3.0063451893219275,-0.08398853111572468,0.5766423357664233,0.170316301703163,70.0,0.07
3,10.0,411,0.6236471031022808,0.5409915403326422,0.30360975401633117,0.12051077439690576,2.2612776719894696,2.433686595445472,-0.04092102093948813,0.5571776155717761,0.1273317112733171,52.33333333333333,0.05233333333333334
4,10.0,411,0.45720937001511275,0.39453930665299275,0.2261852463716265,0.10787902874180826,1.9447885336607689,2.054356101403188,-0.05784412650791326,0.537712895377129,0.1070559610705596,44.0,0.044000000000000004
1,20.0,411,1.2227778986458575,0.841403030133723,0.4540288366705687,0.22227431819945143,1.7955993258014524,1.9826265600606174,-0.14125172854502466,0.5401459854014599,0.22871046228710462,94.0,0.188
2,20.0,411,1.0929543185836894,0.8196276586173437,0.44346197101807094,0.15397837221826655,2.4620269801282246,2.683647962216264,-0.09160061062326674,0.5669099756690997,0.170316301703163,70.0,0.14
3,20.0,411,0.6236471031022808,0.46251246344661734,0.26249287841116953,0.12044582846074087,1.9960901528056831,2.14965307687201,-0.042850640576211796,0.5450121654501217,0.1273317112733171,52.33333333333333,0.10466666666666669
4,20.0,411,0.45720937001511275,0.3345453364140578,0.19356675724834682,0.10791424294751233,1.6941581661159466,1.784102345301881,-0.06043586537339152,0.5304136253041363,0.1070559610705596,44.0,0.08800000000000001
